sentence,source,target,relation
"Here was a record of the sums sunk in the Lake Tanganyika Gold Company, which was to have paid 33 per cent., and which fell to pieces in the second month of its existence.",33,,['was']
A boy stands behind a table of food.,boy,food,"['stands', 'behind']"
"So we lined up in front to wait, the Incubators never takin' their eyes off'n Woodie, and him as pink as a sportin' extra, and sayin' things under his breath.",Incubators,pink,['takin']
Several women are outside on a stage doing several exercises and working out as a group.,Several,,['are']
 People walk to the lake with their rafts and get in.,People,rafts,"['walk', 'to']"
"When the ship's discoverers boarded her, their eyes were greeted by a sight whose ghastliness filled them with a numbing horror.",ghastliness,numbing,"['greeted', 'by']"
"It's for you to decide now ... but you inherited a code, too ... a code that has honor for its cornerstone, and that might be able to put generosity above victory....",that,victory,['inherited']
A man gives a tutorial on how to change a bike tube.,man,how,['gives']
"There was an angry clap of thunder, which rolled across the sky from right to left, then back again, and died away near the foremost waggon.",angry,,['was']
"Politeness requires us to go at least to pay a visit.""",Politeness,least,['requires']
"The low cloud which had hung over the city from early morning seemed to lie like a roof over the topmost circle of the amphitheatre, and as night came on the pit below grew dark and chill.",topmost,,['seemed']
 He uses a brush to brush the bottom of the ski.,He,ski,['uses']
The hunter knocked on Columbine's door.,hunter,door,"['knocked', 'on']"
"""Rosalind,"" said George, ""the best plan is certainly to wait until Leslie returns, which will be either to-morrow or the next day.",certainly,Leslie,['said']
"You can't go on like this.""",You,this,['go']
 The men continue dancing and end with everyone falling down except one and then standing back up.,everyone,down,['continue']
"""Oh, you're Moping, are you?"" he remarked with a sarcastic grin, and went on reading a little volume of Poe that he carried in his pocket.",little,,"['remarked', 'with']"
"It is a long, low house, running parallel with the road, painted mostly white and pale green, with a veranda and sun-blinds, and porches capped with those quaint sort of cupolas like wooden umbrellas that one sees in some old-fashioned houses.",wooden,sun,['is']
"""They certainly are not going into action there,"" said the general.",there,,['said']
 The people hit a ball across a lawn one at a time and are seen laughing and smiling at one another.,people,lawn,['hit']
 The  man runs down a strip of track and jumps into a pile of sand.,man,sand,"['runs', 'down']"
"With the stiletto-point of an aloe-leaf and various filaments, I sewed together three thicknesses of the tissue.",various,aloe,['sewed']
"He lay there, contemplating his own folly, and demanding of himself almost fiercely what he had expected to get out of all this effort and misery.",fiercely,,['lay']
"As soon as it was certain that the attack was finally abandoned, and that McClellan's troops were being withdrawn to strengthen Pope's army, Vincent resigned his appointment as aid-de-camp, and was appointed to the 7th Virginia Cavalry, stationed at Orange, where it was facing the Federal cavalry.",where,Virginia,['resigned']
 He adjusts his fishing pole.,He,fishing,['adjusts']
"Well, he's gone, and this alone is left of him,' and he spun the piece into the air.",alone,,"[""'s""]"
"It is my firm opinion that is all there is about it; and the fact of your turning up here just after my cousin left, proves it.""",just,,['is']
The light shook and splintered in the puddles.,light,puddles,['shook']
Thomas Cadge shook his head with the air of Caesar virtuously refusing the crown.,Thomas,Cadge,['shook']
Send another with these tablets to the Lady Miriam.,,Lady,['Send']
Bart's hands were shaking with sudden fear.,hands,sudden,"['shaking', 'with', 'sudden']"
 The first woman joins the second in dancing.,first,,['joins']
There are several men playing Foos ball in an indoor room that has wooden panels.,indoor,Foos,"['are', 'several']"
"""We've settled it.",We,it,['settled']
 He then empties the juice a large cocktail bowl.,He,large,['empties']
  The man uses profanity and flips the camera off.,man,camera,['uses']
"Shafts of light shot toward the zenith, and bands of paler gold, tinging to rose, circled away from the fiery, sinking globe.",Shafts,sinking,"['shot', 'toward']"
"This war having begun, at the great battle of Endondakusuka, he had treacherously deserted Umbelazi, together with three regiments under his command, and gone over to Cetewayo, thereby bringing Umbelazi to defeat and death.",great,,['Umbelazi']
"Homans went up, to a wavering ripple of applause.",Homans,wavering,['went']
"Michael would, no doubt, have kept to the latter plan had he not learnt that Feofar-Khan and Ogareff had already set out for the town with some thousands of horsemen.",Feofar,Khan,"['kept', 'to']"
"""No,"" said my wife; ""it's three burglars tied in a bunch in the library.",it,three,"[""'s""]"
"As they turned to leave the cabin, the canary burst into piercing song.",canary,piercing,"['burst', 'into']"
"I went round with the landlord, and held the candle while the doors and lower windows were being secured.",round,,['went']
 The woman from the interview scene talks to the camera again.,woman,interview,"['talks', 'to']"
"The pirana of course could not penetrate the hide of the alligator, but entering by the bullet-hole it had turned to one side and partially buried itself in the flesh.",bullet,it,['penetrate']
It needed many attempts before the loop caught at the top of one of the bamboos.,It,many,"['needed', 'many']"
"""Wot did you put it all on to me for?",you,me,['put']
 The ID card of the person being interviewed is also shown.,ID,card,['shown']
"  In the first clip, a much bigger wrestler wrestles a smaller man who ends up winning.",smaller,,['wrestles']
Pasha caught a glimpse of something which seemed like a heaving wall of tossing heads and of foam-whitened necks and shoulders.,which,whitened,['caught']
 He goes on the court and with the racket and a ball from his pocket and hits it.,He,it,"['goes', 'on']"
"Nick and Norrie has spread the news around industrious about my sunrise spadin' stunt, and everybody has to pull his little wheeze.",spadin,,['spread']
"When the doctor placed the precious bag beside Sir George in our solitary first next morning, he laid a check beside it and was about to leave.",morning,Sir,['laid']
 Various cities are shown with an Adidas billboard.,Various,,"['shown', 'with']"
"Alfred rode out on the prairie to right and left, and found the hoof-prints of about thirty ponies.",Alfred,thirty,['rode']
Won't you put it in your dress?,you,dress,['put']
" Other teams plays soccer, a player with white uniform receives a ball and score.",player,white,['plays']
They rode to Spring Creek Valley.,They,Spring,"['rode', 'to']"
 She brushes her hair out and styles it.,She,it,['brushes']
 A woman talks to the camera.,woman,camera,"['talks', 'to']"
"Nils looked at Clara, who sat frigidly with her white skirts drawn tight about her.",who,white,"['looked', 'at']"
 He plays in a fast manner without stopping.,He,fast,"['plays', 'in']"
 The man walks to and turns off the camera.,man,camera,['nothing']
 The gymnast then moves himself around the bars and jumps down afterwards.,gymnast,then,['moves']
"And--there, here 'tis,"" she finished, producing the check after much fumbling in the bag she carried.",much,,['finished']
Ingredients are sitting on a wooden block.,Ingredients,wooden,"['sitting', 'on']"
A small child is seen climbing on a camel as well as a woman in front of him.,small,,['seen']
 They put a straw and a lime wedge on the rim of the glass.,They,lime,['put']
With a swift rustle of his silken robes he swept from the chamber.,silken,,['With']
"And I was wishin' she'd forgot to do her hair that antique way, all piled up on her head, with a few coy ringlets over one ear.",way,,['forgot']
 A zoom in of the man's half shaven face is shown.,,shaven,['shown']
Walter hurried back to New York to hush the servants up.,Walter,back,['hurried']
  A shoe shine demonstration takes place with a man kneeling in front of a group of students and using a sample shoe as an example.,demonstration,sample,['takes']
" Now the woman is standing at an outdoor pool talking and she jumps off of the diving board first, does a few flips and then lands in the water.",outdoor,,"['standing', 'at']"
Lane passed on.,Lane,,['passed']
"The room began to fill, and one after another men came forward and claimed friendship on the score of old days and perils shared.",men,old,['began']
"""Don't you know that our would-be Brigadier sent all the commissary to the rear day before yesterday?",be,,['know']
"Still holding his rapier, he raised his eyes for a second and let them rest on me with a grim malevolence.",them,grim,['raised']
"We hadn't gone twenty yards, when Rube said, ""Listen.""",when,,['gone']
"Old One-Eye, as befitted a chief and leader, paddled out alone, facing peril for the rest of the tribe.",,alone,['Eye']
 The man continues shaving and shows off his before and after pictures.,man,before,['continues']
A woman is seen speaking to the camera while standing next to a horse and holding a brush.,woman,next,['seen']
I don't want to be hanging head and starn in this little bit of a river of your'n.,I,little,['want']
At an outdoor poor facility people are in the pool and others are outside standing by.,poor,facility,"['are', 'in']"
There are several people gathered in a skating park with skateboards.,,several,"['are', 'several']"
 the mother enters and adds some dishes from the rack back into the sink to be rinsed again and shows the boy what was wrong with the pot.,again,,['enters']
 They add a scoop of chocolate ice cream next to the sandwich.,They,next,['add']
"I hope you are hungry, too, Ingua,"" she added, opening the basket and beginning to place its contents upon the table.",Ingua,,['hope']
"""Never mind about money,"" rejoined Bronson, turning to go.",Bronson,money,['rejoined']
"On the frontier Rim of the Galaxy, where the independent spacers traced the star trails, fast thinking and the ability to change plans on an instant were as important as skill in aiming a blaster.",fast,star,['were']
We see two opening title screens.,We,opening,['see']
"As he drew nearer his mustang moved still more deliberately, until it was hard to decide whether he was advancing at all.",he,nearer,['moved']
Then he walked back and turned about once more.,Then,,['walked']
A man enters a car holding a briefcase.,man,briefcase,['enters']
After three-quarters of an hour's hard rowing the barge approached her side.,hard,,['approached']
"Their eyes met, and she quivered and yielded like the horse.",she,horse,['met']
As I reentered the hotel the clerk handed me a telegram.,clerk,telegram,['reentered']
"But such as it was, it sprang to embrace him, and he carried it away with him when he died.",when,,['sprang']
"""Go,"" said she simply.",she,,['said']
" After, the soldiers run to the woods firing their rifles, and a man wearing a leafy poncho camouflage on head  fire his gun in the wood.",man,head,"['run', 'to']"
 The camera transitions into several people riding in tubes and pushing themselves down a river.,,several,['nothing']
She possessed herself of a very obvious volume--one of the series of the Arabian Nights--and she brought it out into the portico and sat down with it in her lap.,obvious,Arabian,['possessed']
"When this had been done one of the men, in obedience to a slight nod from the captain, seized Marcy around the chest under his arms, the mate by a movement equally quick grasped his left wrist, and both began pulling in opposite directions with all their strength, while Beardsley passed his huge rough hands up and down over the ""bunch"" until he was satisfied that the protruding bone had been pulled back to its place.",protruding,,['grasped']
"If I don't go back all of them will know it's because I am so poor I can't buy my books.""",so,,['know']
A group of fencers pose with an instructor.,group,instructor,"['pose', 'with']"
Nearly all the rest of the day and evening she spent in writing that which we shall read in time--only in the late afternoon she went out for a little while in her canoe.,late,,['went']
"The girls continue to do the cheer and when they are done, the owner joins in.",owner,cheer,['continue']
A woman is seen kneeling down on a yoga mat while bending forward.,woman,yoga,['seen']
A man is doing flips on the grass.,man,grass,['doing']
"You three,"" he went on, turning to the other men, ""sleep in the kitchen, and watch that the prisoner does not escape.",other,,['went']
"As he spoke, he put back his revolver into his pocket.",he,pocket,['put']
" A man skips on a truck signed with white lines, when he arrives to the third line jumps high and lands in the sandbox.",when,,"['skips', 'on']"
"Sometimes a dozen of them would clamp their peavies on either side, and by sheer brute force carry the stick to deep water.",Sometimes,,['clamp']
Concho emptied his water bottle in his prospecting pan and handed it to the stranger.,Concho,prospecting,['emptied']
"""There was no fun in this, so I crawled back and when I tried the experiment again, it was with a bit of candle in my hand, and a surreptitious match or two.",again,,['crawled']
"A very simple little concert, but all seemed to enjoy it, and old Asia, sitting in the corner, joined at times with the sweetest voice of any, for in this family, master and servant, old and young, black and white, shared in the Sunday song, which went up to the Father of them all.",sweetest,Sunday,['concert']
A broad road ran between.,broad,,"['ran', 'between']"
 The woman exercise on front the ocean spinning the stick on her neck.,ocean,neck,['nothing']
A wedding party is standing at the front of an aisle.,wedding,party,"['standing', 'at']"
"""Of course there will be; it is climbing a long hill to try to study medicine or to study anything else.",course,,['climbing']
Alec got one of the men on the farm to yoke a horse to bring the boat to the river.,Alec,river,['got']
"""He's tracked the gold ledge from the head waters down to here.""",He,gold,['tracked']
"""You've brought something,"" said Savka, untying the bundle and throwing a condescending, jesting shade into his voice.",Savka,condescending,['said']
"Don't go on the grass, or you will wet your feet; and don't play with baby, I want her to go to sleep; and don't talk to papa, or he will neglect his work,' said Kitty, as they rose from table.",they,table,['said']
 The ball is served and it goes outside the court.,it,court,['served']
"""One of the men who is going with us says that he knows of the ruins of an old temple, eight or nine miles this side of Toungoo; and that this would be a good place for us to leave our horses.",good,,['says']
"Then she walked back to the house thinking no more of Heer Meyer, thinking only that she was weary of this place in which there was nothing to occupy her mind and distract it from its ever present sorrow.",only,Heer,['walked']
A large yard is shown followed by a young child pushing a lawn mower around.,large,,['shown']
The word curling appears on the screen numerous times.,word,curling,"['appears', 'on']"
He was bending over his wife as they walked.,they,wife,"['bending', 'over']"
"CHAPTER XXVIII I WILL WAIT FOR YOU Beatrice drove back to Paddington, and as she drove, though her face did not change from its marble cast of woe the great tears rolled down it, one by one.",great,marble,['WAIT']
"If I started to travel south on old dog Spot's back I'd reach my journey's end before you had gone half way.""",you,end,['reach']
 Several shots are shown of children hitting the balls as well as speaking to the camera.,Several,,"['shown', 'of']"
When Simon returned to the impregnable door of Vault 39 he listened in vain for a sound.,39,,"['listened', 'in']"
Nevertheless Mr. Sleight sat down and at once abstracted himself so completely as to be apparently in utter oblivion of the man who entered.,utter,,['sat']
"Y'see, Zip,"" he went on, turning to the father, ""Sunny's done his best to kep things goin' right.",things,best,['went']
"""Well, you see he kept a-tossin' and throwin' off the clothes, and I kept a-gettin' up to straighten 'em; and once he threw out his arms, and something bright fell out on to the pillow, and I went and looked, and it was a likeness that he wore by a ribbon round his neck.",he,neck,['see']
"Several people are seen in different scenes, walking in public.",Several,,"['seen', 'in', 'different']"
The video shows a person's hand holding up an acoustic guitar.,hand,acoustic,['shows']
A man and a woman decorate a Christmas tree from decorations around the room in sped-up video.,man,sped,['decorate']
"Bartolome Acero is the man who burned the registry office of Lugarnoble and carried away with him as hostages the alcalde and two of the principal landowners.""",who,principal,['is']
 The person puts a new tire on and screws it in place while taking off the jack and putting the hubcap back on.,person,new,['puts']
"Shouldn't I go?""",I,,['go']
He wore a soft hat and carried a cane.,He,soft,['wore']
 A dog in socks walks slowly out onto the floor as a lady films him.,dog,out,['walks']
"Salemina agreed that it was hardly worth considering; and in truth so many landladies had refused to receive her as a tenant that day that her spirits were rather low, and she was uncommonly flexible.",rather,,['agreed']
"Roger's sprain prevented him from skating again that season, and taught him also a lesson which let us hope he will remember all his lifetime.",he,lifetime,['prevented']
 They continue working out in the room.,They,room,['continue']
"She had a small pale face, brown eyes that sparkled with life and mischief, and a rippling mass of reddish-auburn hair falling down her back under a coquettish little felt hat.",rippling,,['had']
 More shots of people on the sides are shown while the runners continue running.,runners,sides,['shown']
" A boy looks at a smart phone while pedaling a stationary bike, and other boys continue biking.",other,,"['looks', 'at']"
They'd have licked his boots.,They,boots,['licked']
"He looked well and happy; his cheeks had filled out, and he carried himself well; he dressed with scrupulous care, and when Frank had no engagement with his comrades, the Pole accompanied him on long rides on his spare charger, he having been accustomed to riding from his childhood.",spare,,['filled']
Two men run on a track while a large crowd of spectators and press watch.,Two,,"['run', 'on']"
"Once more Lane sat silent, with his heart raging.",heart,,"['sat', 'silent']"
Then the work of clearing the mine and bringing up the bodies commenced.,Then,,['commenced']
Yet Keston ran on confidently.,Keston,,['ran']
 A young boy in blue celebrates.,young,,['celebrates']
"All who could crowded into the barn, and the reels were run over and over again as different relays of officers and men attended.",different,,"['run', 'over']"
The child is playing on the monkey bars.,child,monkey,"['playing', 'on']"
 The two continue to go at it and leave with the man standing up.,man,it,['continue']
"The days went by, and towards the middle of the winter Claude's courage revived once more.",by,,['went']
"Without a word, he crossed over to the Senor's side.",he,side,['crossed']
 He starts racing on his dirt bike.,He,dirt,['starts']
I don't think a little of it will harm any of us ... and I'm going to dissipate even farther.,I,us,['think']
"If sectarian scientists shut out the horizon to keep strictly to the phenomenon, it was permitted to her, a good, simple creature, to reserve the part that she did not know, that she would never know.",she,simple,"['permitted', 'to']"
A man runs holding a pole with both hands.,man,hands,['runs']
 The man continues to pass the ball while the dog hits it right back.,dog,it,['continues']
Do they place these ladies ashore?,they,ladies,['place']
Three footmen with powdered hair and chocolate and drab livery were in attendance.,Three,,"['were', 'in']"
"Half an hour after the warrior had returned her to her prison he rose and entered the hut, where he tried to engage in conversation with her.",where,,['rose']
A woman starts running down a track.,woman,track,['starts']
A woman is seen shaving down the fur of a dog while the camera shows many dogs sitting in crates.,many,,['seen']
It would be an easy matter to bring him down without endangering his life.,It,easy,['be']
 He stands back up and continues talking.,He,,['stands']
"Frank tore himself from one embracing arm and faced round, still held by the other.",Frank,still,['tore']
"The bushes outside were ruffled and whitened, and the wind pressed upon them so that they seemed to stoop to the ground.",they,ground,['ruffled']
"Then he descended the five flights of stairs deliberately enough, but once out of earshot of his friends, he ran several blocks.",once,,['descended']
A small group of people are seen sitting on the side and lead into two people dancing together.,small,,['seen']
 An older man is seen in a gym speaking to the camera while men play volleyball in the background.,men,background,"['seen', 'in']"
"Homans over-ran second, intending to go on, but, halted by Weir's hoarse coaching, he ran back.",hoarse,ran,['ran']
"But the paroxysm passed, and she rose pale and trembling, with set teeth and blazing eyes.",she,set,['passed']
Burke put his hands into his pockets.,Burke,pockets,['put']
 The man does a handstand and dismounts.,man,handstand,['nothing']
"Several field mice were basking in front of the dying embers of the fire, and two were sitting on his boots.",dying,,"['basking', 'in']"
I went round to the door and tapped softly upon it.,I,softly,['went']
"Casting his eyes around, at a little distance he perceived the stand of a youthful bootblack.",little,,['perceived']
 People are running down a trail.,People,trail,"['running', 'down']"
"If you hanker to go to Boston, go you shall, and no thanks to me.",you,shall,['go']
Ross indicated the blood now thickening into a stream along Ashe's thigh.,blood,now,['indicated']
"He pitched his tent with the village tailor in a little house at Fornside, close by the Moss.",He,close,['pitched']
A woman is standing by a bathroom door talking.,woman,bathroom,"['standing', 'by']"
"He now believed that these letters were all no better than forgeries, and that he had well-nigh fallen a victim to one of the worst of villains.",well,,['believed']
"""We kiss my Lady Marchioness's hand,"" says Mr. Holt.",Mr.,Holt,['says']
"In the wild wilderness, a leopard-mother caresses her cub, as Hagar did Ishmael; or a queen of France the dauphin.",Hagar,France,['caresses']
 A guy falls down onto the ground.,guy,ground,['falls']
"A fleet of yachts had arrived during their absence, and the scene was full of life and gaiety.",scene,life,"['arrived', 'during']"
"They had gone round the RAMADA, as by common consent, and were trying to get in on the opposite side.",They,opposite,"['gone', 'round']"
"Come, sit down with me and tell me how it happened that you conquered your heart, and why I see you in this disguise?""",why,,['Come']
 She flips several times before dismounting.,She,,"['flips', 'several']"
A lady stands at the end of a hopscotch court.,lady,hopscotch,"['stands', 'at']"
"I am sure that I had some real news to tell you, but it has completely gone out of my head.",real,,"['am', 'sure']"
"He sat very still, leaning his head upon his hand.",He,still,['sat']
A man train a boy kick box while two men watch sitting in the room.,two,boy,['train']
"A vast blot, which was neither clearly paw nor hand, swept aside leaves and branches on the other side of the small clearing, tearing them casually from the shrubs.",which,casually,['swept']
Freckles wheeled and ran.,Freckles,,['wheeled']
 The bulls circle one another.,bulls,one,['circle']
"Besides, being so much at home, he has associated with that wretched boy of the Stevens's, and is growing rude and noisy; don't you think he had better be sent to school?""",he,better,['think']
 A boy does the same after her.,boy,her,['does']
"  Some names of some of the throws are the glide shot,  the spin Shot, and the stand throw.",spin,Shot,['are']
He thought he'd been poisoned.,he,,['thought']
"This, Lady Rookwood hastily broke open, and drew forth a small miniature.",Lady,Rookwood,"['broke', 'open']"
"Each was sewing a piece of thin waterproof cloth upon a pair of white woolen gloves; so that the fingers, when outspread, had the appearance of the webbed foot of a frog.",woolen,,['sewing']
"He forgot all about the pestle and mortar as he watched the waves rippling along the shore, and leaving behind them diamonds, rubies, sapphires, and pearls in thousands.",all,,['forgot']
 The man then begins break dancing on the floor.,man,then,['begins']
"Startled for an instant, Dick quickly realized that it was Von Kettler in his plane, with his hood thrown back.",Von,hood,['realized']
 A black man approaches to watch the guitarist perform.,guitarist,,['approaches']
 The people in the background clap for the lady.,people,lady,"['clap', 'for']"
" We see a title screen the man shows the machine and turns a dial and washer the floor, sink and toilet and mirror.",title,man,['see']
"Left alone, Evelyn walked up and down the path.",alone,,['walked']
"Oscar Bryan had sailed over from the mainland the evening before with word that her sister Nan--her only sister, who lived in Cartonville--was ill and about to undergo a serious operation.",only,,['sailed']
Then I set out to prove my point.,Then,,['set']
A man is dressed as batman on a poster in a room.,man,room,"['dressed', 'as']"
"He whirled it aloft, and it hissed through the air.",aloft,,['whirled']
But as soon as he went inside the house he forgot all about Johnnie Green.,he,all,['forgot']
 The host speaks to another man while more shots of horses are shown as well as a man hitting a ball.,more,,"['speaks', 'to']"
 Then others do the same shortly after.,Then,,['do']
 The player in shirt is running with player in red shirt.,player,red,"['running', 'with']"
"A male is standing by the white door, he is holding rectangular wood, and on the other hand is a board that holds big chunk of brown clay.",other,,"['holding', 'rectangular']"
 the ending title screen loads.,,,['nothing']
'I will away and leave you;' and she began to roll up her bundle.,she,bundle,['away']
He wrinkled his forehead in great distress.,He,great,['wrinkled']
 He stands up and walks out the door.,He,door,['stands']
A close up of hands on a horse is shown while riding in an area full of cars.,close,full,['shown']
"So Joel dashed back, not minding the alluring cries from several chums, ""Come on--just time for a game before supper,"" and was back before his table in the same attitude, and hanging to his hair.",So,,['dashed']
"At the very moment when Barbicane was going to abandon one window to set clear the opposite one, his attention was attracted by the approach of a shining object.",opposite,,"['attracted', 'by']"
"General Chanzy was sitting on horseback, a short distance in the rear of the fighting.",General,Chanzy,"['sitting', 'on']"
 Some of the bystanders are video taping the dancers.,Some,dancers,['are']
A basketball player is seen jumping under a basketball ball net and shooting a ball continuously at the net.,basketball,player,['seen']
"And meditating with half his mind, he admired the endurance of his horse with the other, who, though he could neither trot, nor gallop, nor walk, could amble deliciously.",he,other,['admired']
He knocked.,He,,['knocked']
 A girl attempts multiple flips and sticks the landing.,girl,multiple,"['attempts', 'multiple']"
 the man puts a wood sheet in space and put floor tiles.,man,floor,['puts']
"Harold fell behind, limp, squashed, obedient.",Harold,,['fell']
 People are shown water skiing in the clear blue waters.,People,blue,['shown']
They were left over from last anniversary day by some of the veterans.,They,last,['left']
 One person is seen standing on the horse and the camera continues to follow the people riding along on the horses.,camera,horses,['seen']
News reporters are seen talking at the news desk with a correspondent at another location.,News,reporters,['seen']
"With a gesture of powerful impatience, Flambeau rattled at the window, wrenched it open, and put an indignant head into the lamp-lit room.",powerful,,"['rattled', 'at']"
"He was sitting in a cold wind, wet to the skin, on the border of a wild sea.",He,wild,"['sitting', 'in']"
"""I heard the shot, but didn't know that he was shooting at you.",he,you,['heard']
"Her mind was filled with a sudden clearness of thought and, swinging the cleaver in the air, she said to Mrs. Lennon: ""You know--here's how I can break away from Jim.",how,,"['said', 'to']"
You got it after a wave broke--as it was dying out.,it,it,['got']
A man with a orange shirt and blue gloves is shown operating a fire torch machine.,man,blue,['shown']
The man is talking this whole time while the woman gets comfortable on her couch and the woman briefly talks.,woman,couch,['talking']
"""Leaving them to fight it out, I suppose,"" interjected Baby Van Rensselaer.",Baby,Van,['Leaving']
By a last effort he tore the package from her.,last,,['tore']
"Hitherto he had been on his defence; now he began the attack; and the gleaming axe whirred in his hand like a reed, but descended like a thunderbolt!",gleaming,,['began']
 A man does several back flips on the stage.,man,back,"['does', 'several']"
"A woman with blonde hair,a purple jacket and black gloves on is standing near a stable talking.",purple,,"['standing', 'near']"
 The winning shot is replayed in slow motion.,winning,,"['replayed', 'in', 'slow']"
"But the invitation had gone, and there was no help for it.",invitation,it,['gone']
 The same man does another lit with his weights while another man watches in the background.,man,background,['does']
 She then starts the process of shaving her legs very intently.,She,then,['starts']
"He went on:--""Ba--ba--ba--brrr--brr--ba--ba.""",He,,['went']
He pretended Margery was just tired out and bundled her out of doors under the trees.,Margery,just,['pretended']
"The motorman ducks his head, humps his shoulders, and grins.",motorman,shoulders,['ducks']
 The man takes the ball and demonstrates a hip move the the boy tries.,hip,boy,['takes']
He then walks over to a student athlete from Florida State University.,He,then,['walks']
 The man repeatedly runs down the track and throws the javelin.,man,repeatedly,"['runs', 'down']"
"Thus they had four rifles distributed at points able to cover the course of the moose should it attempt to escape up the bank, and close enough to hear it if it passed beneath in the forest growth.",enough,,['had']
"I knew that he arrived there on the Osprey a few days before the Excelsior sailed.""",days,,['knew']
"""You'll not leave me thus!"" ""With your permission, sir, I will.""",sir,,['will']
 People are standing in the corner playing the drums.,People,drums,"['standing', 'in']"
"Vincent asked, as, aided by Dan, he rapidly saddled Wildfire.",he,rapidly,['asked']
The Coroner leaned confidentially in his direction.,Coroner,confidentially,['leaned']
"""I think about different ways every day, I think now I just want to run into his room.""",now,,['think']
"[Illustration] This, indeed, is the only quarrel civilized man can pick with the honest Badger.",civilized,,['is']
"In the middle of the river, he studied a boat which a waterman sculled over the stern; then, farther behind, a steamer of the towing service straining its chain, and dragging a series of rafts loaded with barrels and boards up stream.",waterman,towing,['studied']
Within they were fiercely ordered to halt by a gold-crested and magnificent sentinel who laid his shining spear across their breasts until his superior officer should give them permission to pass.,superior,,['ordered']
This Indian Agent is only too anxious to fill up his wasting ranks of Indians.,Indian,,['is']
"Put a cold door key on the back of his neck.""",,cold,['Put']
"She had risen late, and had just looked out of the window.",She,just,['risen']
"""Oh! Please----"" The buckskin turned in his tracks, and once more the man was beside her upon the ridge.",more,,['turned']
 The man then bends down and grabs the bar while still speaking to the camera.,man,still,['bends']
