sentence,source,target,relation
small orange mushrooms grow on a log in a damp forest,small,orange,"['grow', 'on']"
friends fishing in the lake,,lake,['friends']
entrance leading to the common room,,common,['entrance']
A man carrying a blue jacket is unloading a chair out of a moving van.,man,moving,['unloading']
all organisms start life as cell .,organisms,cell,['start']
dont bury your head in the sand like an ostrich,,ostrich,['bury']
A bathroom with wood floors and a stained glass window.,,wood,"['bathroom', 'with']"
The child wants to help clean up the mess he made.,he,mess,['wants']
the gate of building function or sunni islamic place of worship .,,islamic,"['gate', 'of']"
fashion model looks like a classic starlet in this gorgeous satin gown .,fashion,model,"['looks', 'like']"
boxer greets his daughter after she crosses the finish line during recurring competition .,she,recurring,['greets']
mother carefully puts sleeping baby in the crib,mother,sleeping,['puts']
leads out of bedroom into his dressing room .,,dressing,"['leads', 'out']"
"A train is on train tracks, reflecting low sunlight. ",train,low,"['is', 'on']"
gold coins falling on the wooden table,,wooden,['coins']
A tray of broccoli and carrots near a large bowl of salad.,,large,"['tray', 'of']"
glasses of champagne and christmas tree on the beach against a blue sea,,blue,"['glasses', 'of']"
model hit the shops and appeared to be having a great time with her agent today .,model,great,['hit']
a stealth fighter aircraft is parked inside a hangar,stealth,fighter,"['parked', 'inside']"
the priest prays in church,priest,church,"['prays', 'in']"
football player applauds the travelling support following the match at stadium .,football,player,['applauds']
fireworks explode over greek revival structure after a public concert and appearance by politician,fireworks,public,"['explode', 'over']"
solar panels sit atop the roof .,solar,,"['sit', 'atop']"
because kicking up a huge cloud of snow and getting lost totally rules .,,totally,['kicking']
Two horses with blazes on their faces nuzzling each other.,Two,,['nuzzling']
travel and tourism around the world by plane .,,plane,['travel']
A herd of sheep roam in the grass.,herd,grass,"['roam', 'in']"
small private airplanes parked in a row,,private,['airplanes']
moored boats and ships at marina in the town,,moored,['boats']
a city is a city located in north .,city,north,['is']
Construction workers relax after a long day.,Construction,workers,"['relax', 'after']"
an image of religious leader and some flowers on a wall .,,religious,"['image', 'of', 'religious']"
young builder pointing his hand at the complex of high buildings from the building under construction .,young,,['pointing']
A man riding an elephant in the jungle.,,jungle,['man']
judge a book by its cover,,cover,['judge']
a fisherman with boat on the beach in sunset time near to the sea,,sunset,"['fisherman', 'with']"
the larger trees have lots of room to grow inside the egg,larger,,['have']
standing under the united states of veterans remember comrades who have died .,united,who,['remember']
citizens of all ages turned out to show their support for veterans during the parade .,citizens,parade,['turned']
featured image for explorer brought the very first chicken,featured,,['brought']
he is believed to be behind a coup that saw tanks roll onto the streets yesterday,tanks,streets,['believed']
the fast bowler with his wife and baby daughter june in the grounds of his home,,june,"['bowler', 'with']"
rock in the sea near the coast of island,,island,"['rock', 'in']"
museum and history which includes interior views as well as a small group of people,which,small,['museum']
your room has direct access to the swimming pool .,room,direct,"['has', 'direct']"
muscles of the anterior right hip and thigh .,,right,"['muscles', 'of']"
A couple of people practice fencing and a instructor tells them how to do it.,instructor,how,['practice']
corn on the cob with a knob of melting butter,,melting,"['corn', 'on']"
A bunch of bananas grow on a tree.,bunch,tree,"['grow', 'on']"
serve this savory stuffing as a thanksgiving side dish .,,savory,['serve']
the potential storm could drop inches of snow on the city starting on friday .,potential,,['drop']
ball gown with shining beaded strapless bodice and beads trickling down the full skirt .,ball,gown,"['trickling', 'down']"
"The train  is on the bridge,traversing a waterway",train,waterway,"['is', 'on']"
arch bridge is a lively spot that leads into a city,lively,,['is']
modern block of flats and apartments on the seafront .,,modern,"['block', 'of']"
A skier is traveling down a slope while a dog is behind.,dog,slope,"['traveling', 'down']"
tourists looking at wildlife whilst hiking through the jungle in the islands,,islands,['tourists']
frosted windows afford the bathroom a measure of privacy .,frosted,,['afford']
lots of different stuffed toys for sale on a shop in the city,,stuffed,"['lots', 'of', 'different']"
ancient beauty looks you ll want to recreate because old is the new new,you,,['looks']
fill in each gap with a suitable word of your own based on the information from the text .,,suitable,['fill']
heart pumps blood and oxygen through the body,heart,body,['pumps']
low angle close up shot of the landmark with tourist visiting on clear blue sky day,,blue,"['shot', 'of']"
rocky shore of mountain lake in misty autumn morning .,,rocky,"['shore', 'of']"
A giraffe bends down behind a tree in a habitat.,giraffe,habitat,['bends']
long layers ... my hair is shorter than this but want layers below my shoulders,long,,"['is', 'shorter']"
the scent of rosemary has been shown to help improve cognitive performance in a new study .,scent,new,['shown']
a shot of many flowers in a healthy field,,healthy,"['shot', 'of', 'many']"
the ruins are why the city is cultural site .,why,,['are']
ship moored in the bay,,bay,['ship']
girl telling a secret to her friend in front of laptop,,laptop,['girl']
Two females are in a classroom and are explaining platinum using a microscope.,Two,,"['are', 'in']"
how to grow cherry tomatoes in pots .,,how,['grow']
fans make their way to the stadium before sports league championship,fans,sports,['make']
A woman uses a ladle to baste a turkey roasting in the oven.,woman,turkey,['uses']
A green and red parrot eating a banana.,,green,['parrot']
a balloon depicting comic book series is carried down road during event,balloon,comic,['carried']
woman choosing products at a supermarket,,supermarket,['woman']
the cake was stacked with layers of meringue and jam,cake,meringue,"['stacked', 'with']"
an army soldier provides security on a joint patrol with armed force,army,soldier,['provides']
the high rise buildings create an interesting pattern of brick and glass,high,rise,['create']
the belfry and roman catholic place of worship during western christian holiday,,christian,['belfry']
vietnamese provincial city welcomed tourists,provincial,,['welcomed']
A small model of a bed and the wall behind it.,,small,"['model', 'of']"
add depth to the family room in your new home with a textured accent wall .,,textured,['add']
duck and ducklings in a row,,row,['duck']
tourist attraction at far end of lake frozen over in the middle of winter,,over,"['attraction', 'at', 'far']"
teachers and students use computers in the classroom,teachers,classroom,['use']
energy in consumers obtain their energy from other organisms in an ecosystem .,energy,other,['obtain']
the city is best known for its many surviving ancient buildings,city,ancient,"['known', 'for']"
politician addresses students during a pm direct event .,politician,direct,['addresses']
tree growing from light bulb shaped roots .,,shaped,['tree']
man ploughing a field with oxen,,oxen,['man']
"A group of travelers, with luggage, turns around and smiles.",group,luggage,['turns']
monarch of gestures after a meeting with politician .,,politician,"['monarch', 'of']"
double height living room with sofas and a huge central fireplace surrounded by floor to ceiling windows,,central,"['room', 'with']"
less contains percent less of a nutrient or calories than another food .,,less,['contains']
a cat eats a treat,cat,treat,['eats']
a pastry next to a spoon on a dish  on a table,,next,['pastry']
book with a trees in the shape of heart,,heart,"['book', 'with']"
stacked zen stones on the beach at morning,,stacked,"['stones', 'on']"
A female meteorologist predicts the weather going through each day.,weather,day,['predicts']
a building smashed up on waterfront .,,waterfront,['building']
a corn field in the countryside on a stormy day,,stormy,"['field', 'in']"
A pink frosted donut next to a cup of coffee.,,next,['donut']
traffic was brought to a standstill whilst police closed lane,police,standstill,"['brought', 'to']"
The vendors were closing shop.,vendors,,['were']
rings hanging during olympic games,,olympic,['rings']
Musicians perform a musical piece at a theater hall.,Musicians,musical,['perform']
unit sitting room off the bedroom .,,unit,"['room', 'off']"
customers select vegetables at a supermarket .,customers,supermarket,['select']
ancient stone carving on a temple .,,ancient,"['carving', 'on']"
a bathroom in an outhose with a wooden window on the side of it ,,wooden,"['bathroom', 'in']"
sketch of the men riding the motorbikes,,motorbikes,"['sketch', 'of']"
a flower of green and purple cabbage to decorate the garden,,green,"['flower', 'of', 'green']"
firefighters extinguish fire on a burning portion of building after fire broke out incident,burning,,['extinguish']
elegant white style mansion with palm trees on a sunny day in the neighborhood,,sunny,"['mansion', 'with']"
an autumnal woodland with curved road through woods strewn with autumn leaves,,curved,"['woodland', 'with', 'curved']"
christmas decorating ideas to get your home ready for the holidays,christmas,decorating,['ideas']
hard rock artist performs onstage at industry during day of festival,hard,rock,['performs']
not a fan of the actual tattoo but i do love the subtle shading .,actual,,"['fan', 'of']"
mangrove trees on the tropical coast of island,,tropical,"['trees', 'on']"
detail of the multi tiered roof of temple,,tiered,"['detail', 'of']"
this bronze monument of military commander was commissioned and donated by organisation founder,bronze,monument,['commissioned']
A man guiding a train down a train track.,,train,['man']
the toy train takes to reach a city .,toy,train,['takes']
dramatic sunrise over the bay bridge with wharf,,dramatic,"['sunrise', 'over']"
the famous landmark stands just behind tourist attraction inside country controlled a city,famous,,['stands']
the officers uncovered the drugs hidden in compartments inside the ambulance,officers,ambulance,['uncovered']
geographical feature as seen from a pontoon calm waters reflect the blue sky and powdery clouds,geographical,,['reflect']
A closeup of a bunch of pillows on a bed.,,bed,"['closeup', 'of']"
plastic sheets protecting crops in a field,,plastic,['sheets']
fans react as they watch the match .,they,match,['react']
another way to add some privacy to your hot tub is to surround it with plants .,way,hot,['is']
sometimes organisms live in relationships that are parasitic .,that,relationships,"['live', 'in']"
satellites flying around the earth .,,earth,['satellites']
A woman with a red jacket skying over a mountain.,,red,"['woman', 'with']"
professional athlete won event on sunday to become the first winner in years .,professional,,['won']
stained glass inside the church,,stained,"['glass', 'inside']"
Two men are filling out paperwork for a man in a red shirt who is behind the counter.,red,,['filling']
a city an architectural monument of early century gothic,,early,['city']
A high speed train traveling between a mountain and lake. ,,high,['train']
A brown horse galloping down the green pasture.,,green,['horse']
tourist attraction at far end of lake frozen over in the middle of winter,,over,"['attraction', 'at', 'far']"
curl up by the fire with a hot drink after a perfect day of skiing and snowboarding .,,perfect,['curl']
the name of poet engraved in gold on the leather binding of an old book of his works,,old,"['name', 'of']"
A man showing how to make a sandwich with slices of cucumber and tomato.,,how,['man']
this home is ready for western christian holiday with the way the lighting falls on the exterior .,christian,,"['is', 'ready']"
what i like about fall seeing the beautiful autumn colors through the windows of an old train,i,old,"['like', 'about']"
fans celebrate prior to the preliminary round match vs country,fans,preliminary,['celebrate']
a pigs looks out from its pen at a farm .,pigs,farm,['looks']
Baskets of oranges with people standing around them.,,them,"['Baskets', 'of']"
a helicopter coming into land on ship,,ship,['helicopter']
sunlight falls in a spruce forest,sunlight,spruce,"['falls', 'in']"
some of the cars are covered with moss .,some,moss,"['covered', 'with']"
"An airplane is on the tarmac, with a boarding staircase pushed against it.",boarding,staircase,"['is', 'on']"
a duke crew member waits to be hoisted up by helicopter during a training session .,duke,crew,['waits']
A large modern bathroom features an oversize tub and walk-in shower.,modern,,['features']
waterfalls and streams during autumn,,autumn,['waterfalls']
Fruit and disposable plates and utensils surround a cake.,Fruit,,['surround']
a tour boat passes behind island,tour,boat,"['passes', 'behind']"
horizontal certificate of completion template with golden floral pattern and frame .,,floral,"['certificate', 'of']"
how to grow a mango tree from seed,,how,['grow']
team with students who visited .,who,students,"['team', 'with']"
traditional handcrafted plates on the wall,,handcrafted,"['plates', 'on']"
tall modern buildings overlook an old church with a tower,modern,,['overlook']
A thin crust pizza with just cheese on the top,,just,"['pizza', 'with', 'just']"
golfers finish a round of golf on the existing course wednesday .,golfers,existing,['finish']
the fire spread to the roof .,fire,roof,"['spread', 'to']"
A bowl of broccoli has white cheese on it.,bowl,white,"['has', 'white']"
A nun is being searched at an airport by a female Department of Homeland worker.,nun,Department,"['searched', 'at']"
camping with illuminated tent at high altitude under starry sky and milky way reflected on lake .,camping,milky,"['reflected', 'on']"
a stack of bills dollars falls on the table,stack,bills,"['falls', 'on']"
a typical greek island cobbled alley decorated with colourful flower pots of geranium,,colourful,['island']
swans glided through city centre today after river burst its banks for the second time this summer,today,city,"['glided', 'through']"
storm clouds gather over the ground during day of the fourth test match .,storm,clouds,"['gather', 'over']"
image of dressed slate textured wall panels with a chair in the foreground,,textured,"['image', 'of', 'dressed']"
last passenger to squeeze onto the train at station,,last,['passenger']
family of elephants playing and cooling down in a muddy watering hole,family,muddy,['playing']
migrant was unable to hide his anger and was forced back by police as the makeshift camp was destroyed,makeshift,,"['was', 'unable']"
image of a cat relaxing in a cozy hammock,,cozy,"['image', 'of']"
A man's voice is speaking while showing a pot of stew that was cooked over an open campfire.,that,open,['speaking']
fresh bread in a bakery in cooling rack,,cooling,"['bread', 'in']"
a ferry taking vehicles and passengers to town .,,town,['ferry']
A woman is considering buying some fruits.,woman,fruits,['considering']
people gather near burnt vehicles a day after the explosions .,people,day,"['gather', 'near']"
"Closeup of food that includes mushroom, broccoli and rice.",that,mushroom,"['Closeup', 'of']"
a map of the city inside a glass that is found in the building,that,building,"['map', 'of']"
place of worship is surrounded by beautiful park,place,beautiful,"['surrounded', 'by', 'beautiful']"
this second master is a great size and has a vaulted ceiling .,second,,['is']
A man in a kitchen shows how to shake a plastic container to coat a pastry with flour.,man,plastic,['shows']
storm clouds pass over tourist attraction on an autumn evening,storm,clouds,['pass']
spending a sunday afternoon at these beaches,,sunday,['spending']
apsara dancer at the temples,,apsara,"['dancer', 'at']"
projected light create patterns that cover floor,that,floor,['create']
She points to the camera in the end and smiles.,She,end,"['points', 'to']"
cities named among the most visited in the world,,most,['cities']
harvester gathers the ripe barley on the field,harvester,ripe,['gathers']
happy friends talking to each other in the living room,,happy,['friends']
photo of the building under construction and some tower cranes above the fog,,tower,"['photo', 'of']"
creek running through pristine tropical rainforest,,tropical,['creek']
"End of a train just past a road crossing, pulling into a village station.",,just,"['End', 'of']"
a teacher helps a student with the letters of the alphabet at school,teacher,school,['helps']
male red deer walking across a meadow in a forest,,red,['deer']
workers transporting goods are seen inside the main market .,workers,main,"['seen', 'inside']"
Two cross stitch items with a pair of scissors.,,cross,"['items', 'with']"
build your new home on an affordable level lot in a desirable subdivision .,,desirable,['build']
biological species rooting for food,,biological,['species']
the sun coming out from behind a cloud and flaring to fill the frame with bright white light,,white,['sun']
a soldier says goodbye to his girls before he deploys overseas in july .,he,overseas,['says']
tourists visit tourist attraction amid heavy smog .,tourists,heavy,['visit']
bathroom with storage shelves mounted above the toilet.,bathroom,storage,"['mounted', 'above']"
firefighters extinguish fire that broke out at the building on early morning,that,early,['extinguish']
bath with cabinets and mirrors in the bathroom at home,,home,"['bath', 'with']"
big pot of flowers in front of the town hall,,big,"['pot', 'of']"
close up of a spider making a web,,web,"['close', 'up']"
storm clouds rolling in over a mountain,storm,clouds,['rolling']
the sun forcing its way through clouds over a city,,city,['sun']
scene of the garden with field and flowers,,field,"['scene', 'of']"
Many types of vegetables laid out on a tray.,,Many,"['types', 'of']"
why i want to live in a hotel room for the rest of my life,why,,['want']
bees collect nectar from the flowers,bees,flowers,['collect']
students and faculty enter the auditorium .,students,auditorium,['enter']
field full of yellow flowers with cattle grazing in the distance,,yellow,"['field', 'full']"
a model walks the runway during the launch hosted by celebrity,model,celebrity,['walks']
add a few flowers to the art installation for additional charm,,additional,['add']
Five very large planes are parked at a runway.,large,,"['parked', 'at']"
people struggle through high winds and rain as they cross suspension bridge,high,,"['struggle', 'through', 'high']"
Two people cross a simple wooden bridge over a pond in a wooded park.,Two,,['cross']
A trolley car moves down the tracks in a city.,trolley,car,"['moves', 'down']"
a lightning bolt appears to strike tower while the landmark is seen illuminated in vibrant blue lights .,landmark,blue,['appears']
profession serving family in a restaurant and bringing full plate,,full,['profession']
a lot of work coming .,lot,work,['coming']
The black and brown cat is lying down next to a toy banana. ,black,,['lying']
the mascot performs during the first half .,mascot,first,"['performs', 'during']"
tilt down of a forest filled with tall trees and flowing streams,,tall,['tilt']
manager embraces footballer and soccer player following the match .,manager,soccer,['embraces']
small isolated private island with beautiful palm tree in the middle of sea,,beautiful,"['island', 'with', 'beautiful']"
church in a typical village surrounded by mountains,,typical,"['church', 'in']"
these heroes that will save the world with comic book character at their side .,that,comic,['heroes']
a honor guard presents the colors before the opening ceremony .,honor,guard,['presents']
upper level tv room which doubles as a bedroom when needed .,upper,level,['room']
this image originally featured as the cover .,image,originally,"['featured', 'as']"
wedding rings in a glass of champagne at sunset,,wedding,"['rings', 'in']"
the roof of a church has been blown off in the wild storms that ripped through governmental jurisdiction .,wild,,['blown']
portrait of a mid adult man wrapped in a duvet and measuring his temperature,,mid,"['portrait', 'of']"
aerial footage of bare trees during the winter,,bare,"['footage', 'of', 'bare']"
example roof made of natural wood and covered with palm leaves on a beach hut,,natural,['roof']
a strand of gum trees in the soft early morning light,,early,"['strand', 'of']"
wooden yachts with high masts moored at the marina,,high,"['yachts', 'with', 'high']"
never mix cucumbers and tomatoes in a salad this combination is not beneficial to your health here is why,combination,health,['why']
pedestrians and commuters walking to work on a sunny morning near station,,sunny,['pedestrians']
a teacher holds gold medal during an assembly on thursday at the school .,teacher,gold,['holds']
an intricately gnarled system of tree roots on an ancient tree in rainforest,,ancient,"['system', 'of']"
politician and person watch as putts on the first hole during a round of mini golf .,politician,mini,"['watch', 'as']"
workers shout slogans during a protest,workers,protest,['shout']
loading grain onto the cargo ship,,cargo,['loading']
sun rising over a quiet sea,sun,quiet,"['rising', 'over']"
an aircraft turns away while aircraft model flies the approach over us state,away,aircraft,['turns']
hill of the wind swept trees,hill,wind,['trees']
footballer in action during first team training session ahead of the match .,,ahead,"['footballer', 'in']"
automobile make cars after event,automobile,event,['make']
clouds over the sky in lapse,,lapse,"['clouds', 'over']"
politician smiles during remarks at an event .,politician,event,"['smiles', 'during']"
members of the team test their car during the competition .,members,competition,['test']
leader of politician is embraced by members of the crowd as they celebrate .,they,crowd,"['embraced', 'by']"
The sheep and the lamb are eating grass.,sheep,grass,['eating']
the tower overlooks the city .,tower,city,['overlooks']
a dome of snow sitting on roofs,,roofs,"['dome', 'of']"
pattern in a shape of a star .,,star,"['pattern', 'in']"
stained glass window depicting deity in the form of a dove,,stained,['window']
a train that is on a train tracks that is a model,train,that,['train']
A group of musicians are playing country music in the park.,group,country,['playing']
flying honeybee collecting pollen at orange flower .,,honeybee,"['pollen', 'at']"
the happy couple chose the exclusive hotel and resort as their venue last weekend,happy,,['chose']
A long red haired bearded young man holds a skateboard under his arm. ,young,,['holds']
soccer player comes out to meet the fans at half time during the match .,soccer,player,['comes']
a shooting star in the skies over country,,shooting,"['star', 'in']"
a painting depicting a rural scene,,rural,['painting']
the head and body of the statue were reunited last week .,head,statue,"['reunited', 'last']"
interior of airplane with passengers on seats during flight .,,flight,"['interior', 'of']"
boxer throws a left to the head of boxer in the first round of contest,boxer,first,['throws']
cat lies on a wooden shelf,cat,wooden,"['lies', 'on']"
country has found a cheap and easy way to get rid of its hazardous waste,country,hazardous,['found']
volunteers built a home for a vulnerable family,volunteers,vulnerable,['built']
portrait of a young woman wearing shoulder jewelry and beads,,young,"['portrait', 'of']"
families pose for photos with film character and western christian holiday,families,film,"['pose', 'for']"
the eagles were roosting high in the trees .,eagles,high,['roosting']
this clever poster features politician and appears to be inspired by the movie,clever,,['features']
pilot boat and pier in a port,,pilot,['boat']
middle spotted woodpecker perching on a branch in forest,middle,forest,['spotted']
politician takes a private helicopter to the empty slopes,politician,empty,['takes']
Two women talking out of a building with a umbrella .,,Two,['women']
the model was running errands,model,errands,['running']
male lion tries to find his way up the tree,male,lion,['tries']
building crane in the sky,,building,"['crane', 'in']"
a hand pouring maple syrup from a jug onto a stack of pancakes,,maple,['hand']
A parked airplane behind many tall security gates.,,tall,"['airplane', 'behind', 'many']"
politician and his wife speak at festival .,politician,festival,"['speak', 'at']"
football player reacts during the football match at arena outside russian federal city .,football,player,"['reacts', 'during']"
building function with stained glass and lots of old west character in a city .,,west,"['function', 'with']"
art gallery featuring interior views and art,,interior,['gallery']
award winner and poet vie for the ball during football competition,,football,['winner']
things to know before visiting tourist attraction,,tourist,['things']
philosopher is featured on the cover in a february issue .,philosopher,february,"['featured', 'on']"
tv character worked landing on the deck of a ship in drift and on the go,tv,character,['worked']
cricket player and man clicked during the launch of new car,cricket,player,"['clicked', 'during']"
description a grizzly bear is a mammal that lives in the forests .,that,forests,['is']
"Someone smiles, meeting his eyes.",Someone,eyes,['smiles']
home featuring handmade bricks and a lopsided roof .,,handmade,['home']
mother and boy having fun on the beach,,beach,['mother']
A golden toilet is in a bathroom beside a white bedroom,golden,,"['is', 'in']"
A jet engine plane in flight on a sunny day.,,sunny,"['plane', 'in']"
A train traveling down tracks net to a  bridge.,,net,['train']
type of place of worship that is just spectacular in so many ways .,that,many,"['type', 'of']"
an island of trees in a foggy early morning corn field,,early,"['island', 'of']"
type of place of worship of artwork featuring religious aspects and a temple or place of worship,,religious,"['type', 'of']"
A toilet in a bathroom next to a wall.,,next,"['toilet', 'in']"
a girl lays down in the snow and makes a snow angel,girl,snow,['lays']
rabbits in the grass at garden,,garden,"['rabbits', 'in']"
a fairy is a mythical creature of folklore and mystery dressed the colors of summer,fairy,mythical,['is']
A boy waiting for his father to pass him in a parade.,father,parade,['boy']
time for quick paddle as the evening closes in on the beach,quick,,"['time', 'for', 'quick']"
A female in dark shorts is pushing her mode of transportation down the road.,female,dark,['pushing']
love the color of the floors here,,floors,['love']
the stream running through the woods is sometimes frozen by this time of year .,stream,sometimes,"['frozen', 'by']"
the sun is getting lower and the rocks show their best colors at the end of the day .,rocks,best,"['getting', 'lower']"
a serving tray with a rich breakfast on a bed,,rich,"['tray', 'with']"
herd of deer standing on the meadow at sunrise,,sunrise,"['herd', 'of']"
A black cat licks a doughnut in front of a yellow toy.,black,,['licks']
suspension bridge was raised today as boats passed through,today,,['raised']
seats in different private schools affiliated are reserved fordisadvantaged students under the act .,seats,fordisadvantaged,['reserved']
Two sisters show each other affection as they wait for their mother.,other,,['show']
"Two parking meters on the curb, one with some time remaining.",parking,meters,['remaining']
need this suspended chair for my room,,suspended,['need']
terrace with view of the sea and the surrounding area,,sea,"['terrace', 'with']"
it is a bead but i like the pattern and colors to paint on a rock .,i,rock,['like']
roots of an old tree in a garden covered in moss,,old,"['roots', 'of']"
white shelves on the wall in the shape of home .,,white,"['shelves', 'on']"
fishermen sitting on their boat in the late afternoon harbour,,late,['fishermen']
the endangered turtle swimming over a multi coloured coral reef,,coral,['turtle']
old tank left behind after armed force abandoned a training camp .,armed,,['left']
classic style combined with shabby chic allure inside the tiny living room,,tiny,['style']
a town an ancient city in the southwest of country hewn from towering walls of rock,ancient,,['town']
christmas trees can be recycled at one of several locations across the province .,christmas,trees,"['recycled', 'at']"
Two horses pulling a wagon with many boxes.,Two,,['pulling']
cat rescues a man up a tree,cat,tree,['rescues']
the tide ebbing from the beach by english civil parish before sunrise,,civil,['tide']
wind bends the ears of golden wheat in a field,wind,golden,['bends']
Motorcycle parked in the parking lot of asphalt.,,parking,['Motorcycle']
letter a catching fire in the dark,,catching,['letter']
A small bedroom decorated in an antique style,,antique,['bedroom']
moored boats and ships at marina in the town,,moored,['boats']
Several men waiting on their luggage at the airport.,,Several,['men']
the butterfly can be seen laying eggs underneath the leaf .,butterfly,leaf,['seen']
graduates listen and applaud a speech during ceremony .,graduates,ceremony,['listen']
Closeup of wooden tray holding a pizza with chicken and cheese.,,wooden,"['Closeup', 'of', 'wooden']"
"A bathroom with a toilet, sink and a cabinet. ",,toilet,"['bathroom', 'with']"
growing mushrooms in the garden,,growing,"['mushrooms', 'in']"
reflections in a pond of trees growing beside the pond .,,pond,"['reflections', 'in']"
biological genus in a pond surrounded by its leaves,,biological,"['genus', 'in']"
A church made of bricks has a clock in front.,church,front,['has']
view to the cliff and sea with ships passing by at the horizon,,by,"['view', 'to']"
plants grow in the only areas of the building which receive sunlight .,only,,"['grow', 'in']"
female student having a productive day at studying at home,,productive,['student']
read more reviews of the product by visiting the link on the image .,,more,"['read', 'more']"
tourists looking for a restaurant,,restaurant,['tourists']
The shop has a long row of umbrellas on a rack by the window.,shop,long,['has']
a black butterfly hovers into focus and lands on a cluster of flowers,black,,"['hovers', 'into']"
