text,SRC,REL,TGT
football teams arrive onto the pitch for their clash to find a half empty stadium,teams,arrive,pitch
depiction of builder carrying the cross up the hill .,depiction,of,builder
A white plate topped with a serving board covered in desserts.,plate,topped,board
A delicious looking salad with tuna and bread.,salad,looking,tuna
A cat lying on a blanket with a stuffed toy.,cat,lying,blanket
A small airplane is parked in the terminal of an airport. ,airplane,parked,terminal
cricket player warms up during the nets session at the ground .,player,warms,session
"Two red trays of food that includes carrots, grapes and meat.",trays,of,food
a fisherman transfers his catch of crab from boat,transfers,of,catch
italian gothic structure ... stairs to the top of the dome .,structure,to,top
fireworks explode over the statue of liberty and in front as seen,fireworks,explode,statue
a herd of sheep on a hill eating grass ,herd,of,sheep
Three boys at a concert cheering the band on.,boys,at,concert
A serving of dessert that includes various berries.,serving,of,dessert
star system with planets and sun,system,with,planets
the map indicates the most likely route that builder took,map,indicates,route
national park is located km north this natural national park is one of the largest with hectares .,park,located,hectares
diverse team of scientists or researchers are working together in a dark laboratory and discussing their work,team,of,scientists
a bear pokes his head out of a priority mail box ,bear,pokes,head
portrait of a young woman thinking with her hands on her cheek,portrait,of,woman
the lodge hides among green trees and blooming flowers during summer,lodge,hides,trees
football player oversees a training session,player,oversees,session
soccer player comes out to meet the fans at half time during the match .,player,comes,fans
spring with natural thermal water produce hot steam at sunrise at the famous .,spring,with,water
statue inside the award winning museum,statue,inside,award
elephant eating from a tree close to a lake,elephant,eating,tree
black color perched on a tree in the garden,color,perched,tree
"Empty aqua bathroom with toilet, sink, mirror, and outside window.",bathroom,with,toilet
a whole herb roasted turkey is a show stopping main course for thanksgiving or western christian holiday .,herb,roasted,course
person beaded personalised bracelet with your chosen words on an engraved heart,person,beaded,bracelet
footballer wins the ball ahead of footballer,footballer,wins,ball
a blue sky on the coast as a city looms overhead,sky,on,coast
roads and facilities next with bluffs and hills beyond .,roads,with,bluffs
man in the car planning a route using an application on computer,man,in,car
a variety of dried fish available in the market,variety,of,fish
decorating ideas to make a small bathroom look bigger decorating ideas for small bathrooms in apartments,bathroom,decorating,ideas
this cat who dove into a box without thinking through the consequences,cat,dove,box
A white bowl of soup containing broccoli is near some French bread.,bowl,of,soup
a shopping trolley full of goods being pushed down an aisle in a supermarket,trolley,of,goods
days make ramen perfect any time of year,days,make,time
soldiers stand guard near the site where an explosion went off .,soldiers,stand,guard
Two men loading and offloading luggage on two convery belts paked against a large airplane.,men,offloading,belts
a colour image of a small fishing boat returning to the harbour having just passed under the pedestrian bridge,image,of,boat
a bleached skeletal tree rising out of the barren earth in a canyon formed by sandstone cliffs,tree,rising,earth
panorama of mountains and village near the lake .,panorama,of,mountains
these little flowers will open for just a day .,flowers,open,day
a bunch of grapes hanging from vines in a vineyard,bunch,of,grapes
happy couples having fun while playing snooker in a pub .,couples,having,fun
A man scuba diving is looking for treasure.,diving,looking,treasure
A zebra wagging its tail as it eats some grass on the ground.,zebra,wagging,tail
this home features a large mud room with personal hanging and storage space for family members .,home,features,room
this tunnel is one of two that allow entry bored right through the granite of the mountain .,tunnel,of,granite
graduates wait in gym for the procession to begin .,graduates,wait,gym
Two men grind their boards on a ledge in the snow,men,grind,boards
christmas lights and decorations in a city .,lights,in,city
"Meat, cheese, onions, mushrooms and olives on a pizza.",Meat,on,pizza
rugby player to retire from rugby at the end of the season,player,retire,rugby
lots of water came onto the course .,lots,of,water
the prince of wales is launched before a large crowd,prince,of,wales
A train traveling down tracks near lots of trees.,train,traveling,tracks
bridge on the canal in the city,bridge,on,canal
the culture is known for beautiful art,culture,known,art
A group of construction workers are repairing a large piece of equipment.,group,of,workers
frame with corner floral blue patterns in the ethnic style of painting on porcelain,frame,with,patterns
hexagonal tiles add pattern to the bathroom in white,tiles,add,pattern
traditional furniture offers plenty of storage in this double bedroom,furniture,offers,plenty
heart shaped sweets or candy with romantic messages inscribed in manufacture .,heart,shaped,sweets
sheep grazing under a stormy grey sky .,sheep,grazing,sky
our beautiful home with lots of space for all our guests,home,with,lots
olympic athlete leaves the church after her marriage to athlete,athlete,leaves,church
Three bicyclists are performing maintenance on their bikes.,bicyclists,performing,maintenance
steam train winding its way through a wooded valley,train,winding,way
an image showing a woman adding an item to the wash via industry .,image,showing,woman
an easy purple and gold diy to add some sparkle to your home .,diy,add,sparkle
Two trains traveling down tracks with black smoke pouring out of the top of them.,trains,traveling,tracks
leaf floating in the pond .,leaf,floating,pond
the footage shows the traffic on a highway .,footage,shows,traffic
Students run around the perimeter of the gym to different stations.,Students,run,perimeter
this window seat in an enclosed porch offers extra seating and storage .,seat,in,porch
A train at a station with tracks and gravel.,train,at,station
the redstyle pavilions and a wonderful bridge over a pond with goldfish .,pavilions,over,pond
A toilet is in a bathroom with beige tiles as a white shelf sits inside the shower.,toilet,in,bathroom
An airplane ascends into the sky on a cloudy day.,airplane,ascends,sky
the train moving on railway station,train,moving,station
religious leader laughs with politicians upon arrival,leader,laughs,politicians
multiple crews are fighting a large fire .,crews,fighting,fire
image of a stack of pancakes topped with bacon,image,of,stack
a doe lies in the grass as it soaks up the winter sunshine,doe,lies,grass
common cormorant perched on a tree,cormorant,perched,tree
a fan lays flowers at the statue in memory of athlete,fan,lays,flowers
clusters of red grapes on a grapevine and red autumn leaves .,clusters,of,grapes
donkey taking an exam in classroom,donkey,taking,exam
The grill has hot dogs and hamburgers on it.,grill,has,dogs
crew members load vehicles onto ship for the trip .,members,load,vehicles
dramatic night time view of the ancient city under a dark star filled sky,view,of,city
a bolt of lightning illuminates the sky,bolt,of,lightning
A bunch of baskets of bananas and tomatoes on them,bunch,of,baskets
Woman in front of pizza with several toppings and pasta,Woman,in,front
a scooter is one of the many ways students can get around campus .,scooter,of,ways
happy mixed race family looking at the camera and smiling,family,looking,camera
late gothic revival structure in the evening with bridge,structure,in,evening
little girl carrying her doll in the traditional way that mothers in her culture carry their babies around .,girl,carrying,doll
a view and the surrounding areas at night as seen,view,surrounding,night
an image of skiing in the powder on a sunny day,image,of,skiing
beech tree with letters and initials carved in the bark,tree,with,letters
a pot of vegetable soup surrounded by fresh vegetables,pot,of,soup
... and art framed and hung on the walls .,art,framed,walls
a panoramic view of a beautiful paddy fields surrounded by hills,view,of,fields
a butterfly hanging from a flower,butterfly,hanging,flower
the blue lake in crater of volcano,lake,in,crater
miner descending through a hole into mine,miner,descending,hole
flock of ducks resting on the pond in park,flock,of,ducks
luxury boats for sale in the marina,boats,for,sale
family spend time at a holidays,family,spend,time
Brothers and sisters talk at the dinner able,Brothers,talk,dinner
a student receives a certificate at the event,student,receives,certificate
what the northern lights could look like above a city,lights,look,city
narrow boats still navigate the many locks along the section,boats,navigate,locks
A pizza with toppings on a black surface near plates.,pizza,with,toppings
A wintery mountain with someone snowboarding on a slope,mountain,with,slope
Trains on a track at a station outside with evergreen trees in distance.,Trains,on,track
burning candles in a row,candles,burning,row
horizontal christmas themed image with a cute black kitten dressed up for the holiday,christmas,themed,image
students looking at some art,students,looking,art
the bridge hanging in the sky .,bridge,hanging,sky
a diagram illustrating the extent .,diagram,illustrating,extent
fashion model is one of the faces of the campaign .,model,of,faces
trees and a field of flowers in the orchard .,trees,of,flowers
A weather lady is giving news about the weather while the camera pans to her rear side.,lady,giving,news
The large mirror above a double sink in a public restroom reflects paper towel holders on the wall.,mirror,above,sink
cast members including actors perform at the curtain call during the press night performance .,members,cast,actors
models walk the runway during the launch party,models,walk,runway
The tables and chairs on the patios are arranged under large white umbrellas.,tables,on,patios
boys hold the tusks of a dead walrus brought in by hunters,boys,hold,tusks
A guy helps a kid with a skateboard.,guy,helps,kid
fine old buildings depicts the architecture of this seaside town on windswept coast,buildings,depicts,architecture
"A colorful vegetable salad with broccoli, carrots, onions, green beans, and peppers.  ",salad,with,broccoli
nurse talking to a patient,nurse,talking,patient
small cow in the beautiful village eating grass .,cow,in,village
cute child girl sleeping and hugging her teddy bear in the bed,girl,sleeping,bed
bikes are a common mode of transportation,bikes,of,transportation
road and graves with modern buildings in the distance,road,with,buildings
geographical feature as seen from a pontoon calm waters reflect the blue sky and powdery clouds,feature,from,waters
coconut and type of dish .,coconut,of,dish
A worker searches an older nun with glasses.,worker,searches,nun
the gated community includes a variety of estates .,community,gated,variety
old red canoe adhered to a tree on fine lake in an environment of mountains,canoe,adhered,tree
female roe deer moving through tall wet grass of a rainy summer,deer,moving,grass
a creature of myth and fantasy the dragon is a fierce monster with horns and large teeth,creature,of,myth
passengers travelling on the train inside the tunnel,passengers,travelling,train
spider sitting in the middle of his web,spider,in,middle
the small boat passing by the marina of resort town,boat,passing,marina
A tall clock tower with a clock on it's face next to statues.,tower,with,clock
stranded passengers pass their time in the airport .,passengers,stranded,time
this book is and shows exteriors and interiors of homes with attractive color schemes .,book,shows,exteriors
country and parliamentary republic play a qualifier before an empty stadium on friday .,country,play,qualifier
A giraffe that is looking at a city.,giraffe,looking,city
"A man is dressed as Santa Claus with A Santa suit, hat, beard and glasses.",man,dressed,suit
life at education these teachers will change your opinion about private school,life,at,education
species of wildlife drinking the same time at a waterhole .,species,of,wildlife
A couple stands behind their wedding cake.,couple,stands,cake
not a bad way to welcome friends into your home .,way,welcome,friends
Skiers are making their way down a course.,Skiers,making,way
street vendor offers books for sale on the streets,vendor,offers,books
larger suites feature kitchens with space for a family,suites,with,space
an altar with sitting author inside a temple,altar,with,author
An old fashioned bathroom with gravity fed toilet and bidet and a gas water heater on the wall.,bathroom,with,gravity
us state is home to some superior examples of architecture .,state,to,examples
athlete controls the ball while working on a drill during a training session .,athlete,controls,ball
human language on a blackboard in chalk,language,on,blackboard
the girls with the prettiest faces seem to tell the saddest stories,girls,with,prettiest
rabbits in the grass at garden,rabbits,in,grass
rays of sun light beaming through the mist in a magical misty pine forest,rays,of,light
small space living an example of custom built ins to maximize the space,space,living,example
a large layer of clouds covers the sky .,layer,of,clouds
girl with a cosmetic mask on her face isolated on white .,girl,with,mask
The meat and broccoli on the plate is covered with steak sauce. ,meat,on,plate
beautiful drone shot moving towards a large waterfall called a city with mist and sunlight,shot,moving,waterfall
A white wall mounted toilet in a bathroom.,wall,mounted,toilet
A plane being parked in a field on cement.,plane,parked,field
Cupcakes stacked on a plate and two bowls of fruits.,Cupcakes,stacked,plate
vehicles filling up with fuel at a petrol station on a wintry morning,vehicles,filling,fuel
light trails of moving traffic at the junction,trails,of,traffic
A light shines down on two computer keyboards.,light,shines,keyboards
woman giving birth in the hospital assisted by her husband and nurses,woman,giving,birth
event with his mother during a family holiday,event,with,mother
sun rises through the fog .,sun,rises,fog
lights reflected in the sea,lights,reflected,sea
biological species growing up an oak tree in our yard .,species,growing,tree
"A plate containing pizza topped with broccoli, tomatoes, and other toppings",plate,containing,pizza
politician and person watch as putts on the first hole during a round of mini golf .,politician,watch,hole
politician and his wife share a meal,politician,share,meal
Railroad yard with trains and engines moving on tracks.,yard,with,trains
the sky glows orange behind buddhist place of worship during the golden hour,sky,glows,place
"A man cooks as a man stares off into space, a box of butter is in the foreground.",man,cooks,space
build a log cabin like the ones the families lived in .,families,build,cabin
A skier doing down on slope overlooking a valley.,skier,doing,slope
fashion model who appeared in the magazine and was featured on the cover for the edition .,model,appeared,magazine
a soldier standing at ease after a military parade,soldier,standing,ease
structure and skyscraper and yellow taxi on a summers day,structure,on,summers
ships in the harbour dry dock undergoing maintenance and repair,ships,in,harbour
guards patrol the beach at closing time,guards,patrol,beach
a couple of big towers that have clock at the top,couple,of,towers
Curditie surrounds on a plate with a bowl of dip in the middle ,Curditie,surrounds,plate
Woman looking at lot that is filled with motorcycles,Woman,looking,lot
rain clouds coming to the mountain from sea,clouds,coming,mountain
a male lion standing in his enclosure at the zoo,lion,standing,enclosure
ring with blue gem rotating on a blue glass surface,ring,with,gem
portrait of a man clenching fist,portrait,of,man
rising sun through a thick layer of fog,sun,rising,layer
A train comes to the end of the rails,train,comes,end
fungus grows in abundance on an old stump along a trail .,fungus,grows,abundance
weathered facades of historic buildings along a railroad track in a rural town,facades,weathered,buildings
The cargo plane is rested at the airport.,plane,rested,airport
footballers lift the trophy during their time together,footballers,lift,trophy
politician arrives at a rally by us state,politician,arrives,rally
a herd of sheep standing inside a pen,herd,of,sheep
a city which includes a temple or place of worship and a garden,city,includes,temple
the game goes on while firefighters battle a smoky blaze at a building .,game,goes,blaze
western christian holiday is an expensive time of year .,holiday,of,year
butterflies feeding on something they found on the ground during a spring day,butterflies,feeding,ground
coloured headbands for hair and flowers to decorate the hairstyle for little girl,headbands,coloured,hair
soccer player at the v international friendly match on november,player,at,match
time lapse of a cargo ship and developing clouds,lapse,of,ship
big suspension bridge in beams of the coming sun against the blue sky,bridge,in,beams
detail of the clock and tv tower in a city,detail,of,tower
a large gray train on tracks against a blue sky,train,on,tracks
numbers steadily grew throughout the afternoon as the crowd reached a city,numbers,grew,afternoon
fireworks over tourist attraction during the celebrations .,fireworks,over,attraction
image looking down at a fjord and a village,image,looking,fjord
cute turtle swimming in a sea with fishes .,swimming,in,sea
a man falls from the top of a residential building .,man,falls,top
a letter of introduction helps a teacher understand your child .,letter,of,introduction
portrait of a handsome young man in glasses making sketches in a cafe in the street .,portrait,of,man
firefighters work to extinguish a fire at a home as they battle a wildfire,firefighters,work,fire
heavy rain is coming towards island,rain,coming,island
The direction of the scrolling letters change from bottom to top and now they're in the middle.,direction,of,letters
warm yellow shades on a wall adds a dash of sunshine to any room .,shades,on,wall
happy family pitching up a tent in the forest,family,pitching,tent
living life like an art project,life,living,project
A blue and orange subway sits at a station.,subway,sits,station
which kind of organism obtains energy only from producers,kind,of,organism
a strawberry in the shape of a heart,strawberry,in,shape
cloud moving fast time lapse with a view of lake and mountain,cloud,moving,lapse
the human brain divided into parts each half has its own function,brain,divided,parts
an elephant is pressing his head to a rock,elephant,pressing,head
wise words from poet reminding us that love is totally unpredictable .,words,from,poet
loving mother sharing an apple with her little daughter .,mother,loving,apple
People are placing their bets at a casino.,People,placing,bets
Bunches of bananas hang on a wall and arranged for sale.,Bunches,of,bananas
different kinds of flowers growing in a garden,kinds,of,flowers
pilots fly over country on board of their helicopter,pilots,fly,country
a red train with yellow front and yellow stripe down the side,train,with,front
funny white rabbit with long ears eats green juicy grass in a cage .,rabbit,with,ears
broken light clouds against a blue sky,clouds,broken,sky
painting of person which shows the moment builder appears to person outside his tomb after his resurrection,painting,of,person
top of tree with wind .,top,of,tree
boy wading in the water under a wooden pier,boy,wading,water
ship under construction at the shipyard .,ship,under,construction
the watch made in a bracelet of white gold filled with diamonds .,watch,made,bracelet
a light blue dots repeating pattern in raster graphics editor software .,pattern,repeating,software
the final styling of hair of model by hairdresser in beauty salon,styling,of,hair
"A few giraffe's, an antelope and some gazelle's grazing in a field.",giraffe,in,field
politicians shared an awkward hug as they greeted each in august,politicians,shared,hug
fishermen leaving the harbor in their boat at sunrise,fishermen,leaving,harbor
Two old friends chat and catch up at the park.,friends,chat,park
A few men working on moving luggage at an airport,men,working,luggage
tree in bloom in the garden,tree,in,bloom
shaded earth turning on itself with moving clouds and blue connections in the space with image,earth,shaded,clouds
pink box filled with various frosted pastries ,box,filled,pastries
special forces soldiers provide security during a led patrol,soldiers,provide,security
word quotes about love that will remind you of something quote breathe,word,quotes,love
sky and water blend into a haze of blue over sea .,sky,into,haze
church in an abandoned town,church,in,town
car dressed up for a wedding,car,dressed,wedding
"A florist demonstrates how to staple leaves together, and cuts flowers for an arrangement.",florist,demonstrates,flowers
seamless winter pattern with snowflakes and swirls in a shape of fir tree .,pattern,with,snowflakes
members gathered in a conference room for a meeting,members,gathered,room
A baby zebra stands next to its mother. ,zebra,stands,mother
coach delivers a press conference,coach,delivers,conference
A train crossing a bridge in the middle of the day.,train,crossing,bridge
A pizza with lots of cheese on a flat brown surface.,pizza,with,lots
romantic hairstyles a wreath of white flowers adorns a fuzzy bun,hairstyles,of,flowers
profession removing a burnt mattress spring frame from the scene of an active fire,profession,removing,frame
the tall towers have made suburbs such as part of the city .,towers,made,suburbs
crowds await the results of the presidential election .,crowds,await,results
gold jewelry for sale in a market,jewelry,for,sale
celebrity listens to how the projects are progressing from volunteers and sponsors during his visit,celebrity,listens,volunteers
People play an intense game of tag at the park.,People,play,game
couple receiving a visit of the nurse in the hospital,couple,receiving,visit
staircase leading to the living room and kitchen .,staircase,leading,room
a painting of an eagle soaring through a golden sky,painting,of,eagle
heavy snow is forecast to bring treacherous conditions over the next few days .,snow,forecast,conditions
"A bathroom with two sinks, two mirrors, two lights, a mirror and drawers attached to each sink. ",bathroom,with,sinks
A moving company carefully carries people's furniture from the truck into their house.,company,moving,furniture
this bathrooms gets a lot of sun coming from the window,bathrooms,gets,lot
sunrise over mountain range and a fog filled valley,sunrise,over,range
An airport with lots of jetliners parked on top of it's tarmacs.,airport,with,lots
fans celebrate at the tournament,fans,celebrate,tournament
rough stone walls and exceptional views add drama to the great room,walls,add,drama
Three vintage world war two plans sitting on the tarmac.,war,sitting,tarmac
 a white dog with black ear and black spot on eye,dog,with,ear
narrow and romantic street in the town on a sunny day,street,in,town
clothes and souvenirs shops at market that sprawls across quarters,clothes,at,market
"A few workers, waiting to load the goods from the pallet to the boat.",workers,waiting,goods
players clash during the match,players,clash,match
clock in the tower of an old church .,clock,in,tower
statue of architect who rebuilt tourist attraction,statue,of,architect
a boy carries a load of fresh bananas,boy,carries,load
moose in thick trees taking a rest,moose,in,trees
A worker wipes the sweat off his brow.,worker,wipes,sweat
The chocolate is being poured onto the cake.,chocolate,poured,cake
The teenager performs at a concert.,teenager,performs,concert
showcase with souvenirs in a shop of city,showcase,with,souvenirs
Various jets parked in their terminals at the airport,jets,parked,terminals
builder nailed to the cross with crown of thorns .,builder,nailed,cross
couple having a breakfast in bed,couple,having,breakfast
A vacant living room with blanket on side of couch,room,with,blanket
mother with her small baby are at the seaside in autumn boy throws stones into the sea,mother,with,baby
a librarian selecting a book from a shelf .,librarian,selecting,book
A bathroom has a dark wood vanity and light counter.,bathroom,has,vanity
model walk the runway in creations .,model,walk,runway
sun disappears from horizon on forest floor,sun,disappears,horizon
A man holds a tennis racquet while bending his legs.,man,holds,legs
a small stream flows across a beach,stream,flows,beach
Small train like structure riding down a train way.,train,like,way
a damaged wall of the compound .,wall,damaged,compound
three zebras in a pasture of tall slender grasses,zebras,in,pasture
A black piece of luggage being weighed on a rusty scale.,piece,of,luggage
multirole fighter performs a test flight .,fighter,performs,flight
zebras leading a large herd of wildebeest during migration,zebras,leading,herd
black plastic corrugated pipes are coming out from the ground,pipes,corrugated,ground
family with politician and his family during the inaugural ceremonies,family,with,politician
race car rounding a corner during event,car,rounding,corner
trees reflecting on a mist covered,trees,reflecting,mist
four giraffes in an enclosure around a tree,giraffes,in,enclosure
gothic structure and the church was built in the period .,structure,built,period
clouds fill the sky above a hillside where cattle are grazing,clouds,fill,sky
surgeons and nurses tending to a patient,surgeons,tending,patient
shopping street in the town,street,in,town
biological species waving in the wind,species,waving,wind
"A white plate topped with a  sliced up banana, peanut butter and cookies.",plate,topped,banana
yellow track of the roller coaster by pier making an arch in the sky,track,of,coaster
men have been arrested after an early report of a vehicle and tools stolen,men,arrested,report
window open to a bright blue sky filled with clouds,window,to,sky
teacher helping grade students working at their desks in the classroom,students,helping,desks
A wooden board with various fruit that includes pomegranates and oranges.,board,with,fruit
buildings and rooftop as seen perched high above the city,buildings,above,city
storm clouds gather over a sunlit canola field,clouds,gather,field
elementary school students work at desks that appear to be decades old .,students,work,desks
flight makes emergency landing after smoke in the cockpit,flight,makes,smoke
A pair of scissors on a red surface with red sticky stuff on it. ,pair,of,scissors
walls and towers of the medieval town,walls,of,town
overcast skies silhouette towers and walls on the northwest coast,towers,on,coast
side view of a bald eagle swooping down to snatch a fish from the water,view,of,eagle
an army soldier stands guard during a patrol in the district .,soldier,stands,guard
mother and father hold up their baby in the park,mother,hold,baby
boats moored in the harbour overlooked by colourful buildings on the hill above,boats,moored,harbour
"A toilet, sink, shower and mirror in a bathroom.",toilet,in,bathroom
"A plate with broccoli, chicken, and tomatoes. ",plate,with,broccoli
paradise at the beach with folding chairs and an umbrella,paradise,at,beach
the cake before adding the second tier .,cake,before,tier
tv programme creator and guest arriving on the red carpet for awards held,creator,arriving,carpet
A large white airplane coming downwards from the sky.,airplane,coming,sky
actor inducts celebrity into hall of fame during ceremonies,actor,into,hall
firefighters fight a smoky fire that did serious damage to a home on thursday .,firefighters,fight,fire
Three giraffes eating plants in an enclosure. ,giraffes,eating,plants
a bee in a flower collected pollen,bee,in,flower
A little baby is sleeping in a crib and the mother is telling it to wake up.,baby,sleeping,crib
celebrity and olympic athlete during ceremony ahead,athlete,during,ceremony
living room with stairs leading to a bedroom,room,with,stairs
these large pavers make this entrance to this home even more impressive .,pavers,make,entrance
religious leader said mass at the stadium .,leader,said,mass
"Muscular worker with 6 pack abs , builds interior of home",worker,with,abs
cat lying in a blanket in the sunlight,cat,lying,blanket
type of dish in the book,type,of,dish
cricketer is one of a number of new players in squad,cricketer,of,number
an orange moon appears between the clouds,moon,appears,clouds
a city is a touristic town located in the south close to border,city,located,close
