sentence,source,target,relation
However she was unhappy with the role and worried that it would typecast her.,it,her,"['was', 'unhappy']"
There are separate academies for Arts Humanities and Social Science.,,separate,"['are', 'separate']"
Here x and t are the space and time coordinates respectively.,Here,,['are']
But my dear Miss Summerson I have no art no disguise.,Miss,Summerson,['have']
In contrast HyperTransport is an open specification published by a multicompany consortium.,HyperTransport,open,['is']
Have you heard of it either of you.,you,either,"['heard', 'of']"
But it is soon over.,it,,['is']
Now and then a sheep wandered off the heather to stare at me.,then,,"['wandered', 'off']"
And then one was at school with the man.,then,,"['was', 'at']"
Similar events held at the Stadium in Lagos resulted in its demise.,Similar,,"['resulted', 'in']"
Stephens was initiated an Entered Apprentice Mason in Kensington Lodge No.,Stephens,Kensington,['initiated']
A firefighter extinguishes a fire under the hood of a car.,firefighter,car,['extinguishes']
Southeast from Goodwin Sands lies the Sandettie Bank.,Sandettie,Bank,['lies']
Please bring soap.,,soap,['bring']
Bayaganakandi is an ethnic Tutsi from Muramvya province.,Bayaganakandi,ethnic,['is']
Man riding a red scooter passes a group of school children on a run down street.,Man,red,['passes']
He came home drenched in his TShirt.,He,home,['came']
During her twenties Bax had supporting roles in some action and comedy films.,Bax,action,['supporting']
The Minister of Public Works and Government Services is the Receiver General for Canada.,Minister,Receiver,['is']
The abdomen of a pregnant female extends well beyond the wings.,abdomen,well,['extends']
Its a simple story.,,,['story']
From that time he wrote short stories for periodicals having already authored several books.,he,several,"['wrote', 'short']"
Theatre on the other hand is terrifying.,Theatre,other,"['is', 'terrifying']"
Good afternoon sir how may I be of service.,how,,"['be', 'of']"
It was ruled to be caused by pilot error.,It,pilot,['ruled']
Robbery bribery fraud.,,,['fraud']
It has a low tower with six bells.,It,six,['has']
The resort town MolésonVillage caters for both summer and winter tourism.,resort,MolésonVillage,['town']
A young boy in jeans and a red jacket faces into the wilderness ahead.,young,,"['faces', 'into']"
Dot the Is and cross the Ts.,,Ts,['Dot']
A woman is running after a boy on the grass.,woman,grass,"['running', 'after']"
It was the time of day when all of Spain slept during the summer.,when,,['was']
I was wondering about making an outtakes reel or something.,outtakes,reel,"['wondering', 'about']"
Its fine What can possibly go wrong.,What,,"['go', 'wrong']"
The ants destroy their boat and chase the group through the woods.,ants,woods,['destroy']
Berrio took them to the territories he had previously explored by himself years before.,he,previously,['took']
Anastasius deeply saddened by this left for a nearby monastery.,Anastasius,nearby,"['saddened', 'by']"
The nearest tube station is South Kensington to the south.,nearest,tube,['is']
The Drake Stone punctuates the hills surrounding Harbottle.,Drake,Stone,['punctuates']
She picked him up and ran toward the balloon.,She,balloon,['picked']
Give me the list of animated movies playing at the closest movie house.,,closest,['Give']
A sweater is known as a jumper in England.,sweater,England,"['known', 'as']"
I also use standard port forwarding when I want to expose servers running on my Linux machine.,when,port,"['use', 'standard']"
I can see that.,I,that,['see']
He passed the exam on the second attempt.,He,second,['passed']
He is defeated and knocked unconscious by Jesse Quick and Congorilla.,He,Jesse,['defeated']
He was twenty minutes from his tent and began to make his way there.,He,minutes,['was']
The Huckleberry Railroad owns several locomotives and many pieces of rolling stock.,Huckleberry,Railroad,"['owns', 'several']"
Several different varieties and forms of this species have been described.,different,,['described']
It is identified as being the same color as periwinkle.,It,same,"['identified', 'as']"
The city is the second largest in the county populationwise behind Cooper.,city,populationwise,['is']
She made no outward sign of a change of religion.,She,outward,['made']
Frogs travel from nonbreeding to breeding areas of ponds and lakes.,Frogs,ponds,"['travel', 'from']"
Use butter moderately.,,butter,['Use']
The aircrafts position is also available via a website.,aircrafts,position,['is']
Levithan has been a resident of Hoboken New Jersey.,Levithan,Hoboken,['been']
A further integral component of these polities was clans.,integral,,['was']
Sixtysix Nationalists were arrested on charges of parading without a permit.,Sixtysix,Nationalists,"['arrested', 'on']"
The car headlights were reflected in the puddle.,car,headlights,"['reflected', 'in']"
I dont think I know that one.,I,one,['think']
Both are wide galloping tracks used for Flat racing only.,Both,Flat,"['are', 'wide']"
A man admiring his beautiful sunflower.,,beautiful,['man']
He writes in the Amharic language.,He,Amharic,"['writes', 'in']"
On the coast is the historic district of Kahaluu Bay.,,historic,['is']
However Omarion chose to stay with Stokes and let him manage his solo career.,him,solo,['chose']
The show helped make its composer lyricist and leading performers household names.,show,composer,['helped']
a man slicing the meat in the market.,,market,['man']
This is what Joshua M Epstein calls generative science.,Joshua,M,['is']
It has also started to become active in pushing for lower executive pay.,It,executive,['started']
A man running in black and white tracksuit.,,black,['man']
The results were a mixed bag.,results,,['were']
Fantasia contributed significantly to the fame of the Toccata and Fugue in D minor.,Fantasia,significantly,['contributed']
The beam dropped down on the workmans head.,beam,workmans,['dropped']
Esslingen is also on the German TimberFrame Road.,Esslingen,also,['is']
It never has gone out of fashion for equestrians.,It,equestrians,"['gone', 'out']"
Their song Down in My Heart was featured in the series finale of Wilfred.,song,series,"['featured', 'in']"
A guy riding a skateboard in front of a graffiti wall.,,graffiti,['guy']
The preface states that he had been collecting this information since a young boy.,he,young,['states']
The house was built of brick stone and metal and had plastic window frames.,house,plastic,"['built', 'of']"
His tone is no less sorrowfully echoed by his new acquaintance.,tone,new,"['echoed', 'by']"
The family names Evershaw and Eversaw are derived from this place.,family,names,"['derived', 'from']"
His work appears on many wellknown records by prominent artists.,work,prominent,"['appears', 'on', 'many']"
So now I fear nothing because it was those omens that brought you to me.,that,me,['fear']
Newlyweds are kissing at the reception on their wedding day.,Newlyweds,wedding,"['kissing', 'at']"
Lets break the problem down.,,problem,['break']
This good in itself is inexhaustible and infinite.,good,itself,"['is', 'inexhaustible']"
Itera signed an agreement with Gubkin Russian State University of Oil and Gas.,Itera,Gubkin,['signed']
He was their economic theoretician.,He,,['was']
He is survived by his wife and their son.,He,wife,"['survived', 'by']"
Soon after the British began to attack the Sikh Kingdom.,Soon,,['began']
Greenwich is served by two National Rail stations Greenwich and Maze Hill.,Greenwich,two,"['served', 'by']"
Two people outside in the downtown area.,,outside,['people']
The band quickly realized they needed another guitarist to hold them together musically.,quickly,,['realized']
Two women walking and talking.,Two,,['walking']
The algorithm is named after Michael Purser.,algorithm,Michael,"['named', 'after']"
Patron the Duke of Rutland.,,Rutland,['Patron']
The counterweight fly system has recently been refurbished.,counterweight,fly,['refurbished']
Dont drag me into your personal problems.,,personal,['drag']
We cannot forget that farce.,We,farce,['forget']
Manchester is almost exclusively residential.,Manchester,,['is']
Children use crayons to color sheets of paper.,Children,paper,['use']
When Grant finds out he admits he never loved her and commandeers it himself.,he,it,['admits']
Feeling culpability in Dundees death Eddie hesitates in continuing his work in promoting Toro.,Dundees,Eddie,"['hesitates', 'in']"
The household always had someone at prayer and had a strict routine.,household,strict,['had']
The boy didnt want to talk about the Pyramids.,boy,Pyramids,['want']
However the dividend may under some circumstances be passed or reduced.,However,,['passed']
The settlement of Plav itself was founded by the Ottoman Empire.,settlement,Ottoman,"['founded', 'by']"
White workers resisted these changes.,White,,['resisted']
An elderly man in a vintage race car goes quickly around a right turn.,elderly,,['goes']
The town is southwest of Canandaigua Lake one of the Finger Lakes.,town,Finger,['is']
This is a holy book for Christians.,This,holy,['is']
The story ties together after Jack is attacked by the Wolfman.,together,,['ties']
People are doing various activities on the beach.,People,various,"['doing', 'various']"
a birds eye view of a young girl on a playground.,,young,"['view', 'of']"
Serves you right.,,you,['Serves']
As with before all of the faces of the main human characters are unseen.,all,human,"['are', 'unseen']"
The nature of the Emerald City is changed in the film.,nature,Emerald,"['changed', 'in']"
It also included a new modern graphics engine Xenon.,It,modern,['included']
What is the best way to get rid of head lice.,best,,['is']
He flies a Varieze an experimental aircraft that he built.,experimental,,['flies']
A darkhaired man in seated on a cinder block in front of a painted wall.,,painted,"['man', 'in']"
Mrs Amaya then dug a hole where she screamed and then everything went silent.,then,,['dug']
Could you kindly desist from throwing peanuts from the gallery.,you,kindly,"['desist', 'from']"
The song is EllisBextors greatest hit so far internationally.,EllisBextors,,['is']
It was Japans first allcargo airline.,It,,['was']
After most of the trees were harvested farming became predominant.,harvested,,"['became', 'predominant']"
George Messum represented England Students whilst studying at Loughborough University.,George,Messum,['represented']
The highway curves due north having an interchange with University Boulevard.,,north,"['curves', 'due']"
Students complete their studies at Barton High School.,Students,Barton,['complete']
See he continued you are wrong she is coming.,she,,['See']
Why does nobody eat semolina.,Why,,['eat']
This is due to the processor speed on the AirPort Extreme.,This,AirPort,"['is', 'due']"
I felt the old beak furtively.,I,old,['felt']
The skippers and Nakatas gymnastics served as a translation without words.,skippers,Nakatas,"['served', 'as']"
It is used in cholent in some households.,It,households,"['used', 'in']"
The Cubans won the Florida International League championship twice.,Cubans,International,['won']
Each house sheltered an extended family.,house,extended,['sheltered']
Louderback was shown on the phone.,Louderback,phone,"['shown', 'on']"
They are found in brackish or saline wetlands in warm or hot climates.,They,warm,"['found', 'in', 'brackish']"
That man is terrific.,man,,"['is', 'terrific']"
Additionally German forces must first land on the British mainland in a fullscale invasion.,German,,"['land', 'on']"
Her family owned several hectares of land in the province.,family,several,"['owned', 'several']"
The name Tongji suggests cooperating by riding the same boat.,name,same,['suggests']
It is governed by a homeowners association with significant architectural restrictions.,It,architectural,"['governed', 'by']"
A child with goggles and a swim cap swimming in a pool.,child,swim,"['swimming', 'in']"
Baldwin was little more than a pawn in the politics of the Kingdom.,Baldwin,little,['was']
This was the birth of the United States of America.,This,United,['was']
She jerked out the words between her sobs.,She,sobs,['jerked']
To earn money for medical school Egglesfield turned to modeling.,medical,school,"['turned', 'to']"
A wretched evening is beginning to close in.,wretched,,['beginning']
Many of the changes made to the story by de Camp were slight.,Many,de,"['were', 'slight']"
Ship maps are different from those for planes.,Ship,maps,"['are', 'different']"
A total of five of their team were run out three by Vivian Richards.,total,three,['run']
He also helps teach kids how to play soccer during summer camps.,He,how,['helps']
Street football is more similar to beach football and futsal than to association football.,Street,football,['is']
Condensation is a natural phase of the water life cycle.,Condensation,natural,['is']
Gere was later convinced Hackford made the right decision.,later,,['convinced']
Inspectors trying to check a car that had collided with a track outside Chevron gas station in Texas.,that,Chevron,['trying']
The concert was loud enough for everyone in the city to hear.,enough,,"['was', 'loud']"
These operations caused epidemic plague outbreaks.,operations,epidemic,"['caused', 'epidemic']"
Embrace was compiled from the only two studio sessions the band recorded.,two,studio,"['compiled', 'from']"
However the last male tiger had already disappeared.,male,,['disappeared']
He was a published poet and a panellist on the Sulman Prize for Architecture.,He,published,['was']
It is about forty kilometres east of Prince Albert Saskatchewan.,It,east,['is']
There are countless possibilities of arranging pieces on a board of chess.,,countless,"['are', 'countless']"
She quietly signed a new contract the terms of which were never made public.,new,,['signed']
A young man in blue short rides a motorcycle.,young,,['rides']
Now it is a private holding company.,Now,,['is']
Catherine wisely put in her tongue.,Catherine,wisely,"['put', 'in']"
A white silk jacket goes with any shoes.,white,silk,"['goes', 'with']"
The young woman is sleeping in her room.,young,,"['sleeping', 'in']"
All of these devices took time to operate.,All,time,['took']
Supai is from the nearest road and has no automobiles in the community.,Supai,nearest,"['is', 'from']"
A black man smoking a cigarette is in front of a government type building.,black,,"['is', 'in']"
The concept of a proof is formalized in the field of mathematical logic.,concept,mathematical,"['formalized', 'in']"
At this point Lovell ordered the attackers to halt and entrench where they were.,where,,['ordered']
A lighted up tourist information building.,,,['building']
Tangier is not like the rest of Africa.,Tangier,Africa,['is']
It is owned and operated by the Roman Catholic Diocese of Lafayette.,It,Roman,['owned']
There is a sizeable number of expatriates among the locals.,,sizeable,['is']
Following her retirement Nagayo began producing her own independent events.,Nagayo,independent,['began']
Wilcome Jolly Cotton had been a childhood friend of Sam Gamgee.,Wilcome,Jolly,['been']
The smallest beach on the island it hosts barbecues and family events.,smallest,,"['beach', 'on']"
As an artist she goes by the nickname Twirlyred.,she,nickname,"['goes', 'by']"
I dont know how to turn them into reality.,I,how,['know']
a fireman in uniform with a mustache and goatee by his firetruck.,,firetruck,"['fireman', 'in']"
Young suburban girl blows a big bubble.,suburban,,['blows']
Since they had organized various helping hands against the Patriots.,they,various,"['organized', 'various']"
Lastly a United States court was established for the Northwest Territory.,Lastly,United,"['established', 'for']"
Consistent winds during the summer help temper the hotter weather.,Consistent,,['temper']
His premiership also oversaw improving ties with Turkey.,premiership,also,['oversaw']
And heres a kiss for you.,,you,['heres']
A band recording in the stdio with drums.,,band,"['recording', 'in']"
Mass production of items lowers the cost to produce it.,Mass,production,['lowers']
When they are flexible they are stressed on a crescent shaped mold or former.,they,shaped,"['stressed', 'on']"
Aquidneck is derived from the Narragansett name for the island aquidnet.,Aquidneck,island,"['derived', 'from']"
A man cooks chicken on the grill while others enjoy food in the background.,others,background,['cooks']
These sticky hairs probably have a protective function against predators.,sticky,,['have']
themselves but this one excluded any contributions from Lay Law.,themselves,,['excluded']
The world championships in swamp football is held annually in Hyrynsalmi.,world,championships,['held']
He believed that it is in direct contradiction to scripture to invite all.,it,direct,['believed']
Unlike West Germany East Germany paid Wirth a small amount of financial aid.,Germany,East,['paid']
Relations between the two countries are friendly.,Relations,two,"['are', 'friendly']"
It is now privately owned and has an association with the Smithsonian Institution.,It,privately,['owned']
A woman in a striped shortsleeved shirt stands beside a moped with the license plate L6H320.,woman,shortsleeved,"['stands', 'beside']"
add a tune in Chill Vibes.,,Chill,['add']
Oh right ho I said hastily.,right,,['said']
But instead of being saddened he was happy.,instead,,['of']
Like an old fire horse.,,old,['Like']
Austins naming scheme at that time derived from the approximate engine output in horsepower.,,approximate,"['scheme', 'at']"
Same for coal.,,coal,"['Same', 'for']"
He was proficient in many European languages and made a particular study of AngloSaxon.,He,particular,"['was', 'proficient']"
The station has a Midori no Madoguchi staffed ticket office.,Midori,,['has']
Dayananda stated that he wanted to make the whole world Aryan ie.,whole,,['stated']
Companies were arranged in columns of platoons creating four platoon waves apart.,Companies,four,"['arranged', 'in']"
The authoritarian measures had no effect on the office of the President.,authoritarian,,['had']
Optical and radar observations indicate that is a waterrich object.,that,,['indicate']
Paige was born in West Hartford Connecticut.,Paige,West,"['born', 'in']"
He turned towards the door.,He,door,"['turned', 'towards']"
On the underside the streaks are often much blurred and diffuse.,streaks,underside,['are']
‘I said there was nothing like it’ Which Alice did not venture to deny.,Alice,Which,['said']
They shaved their heads grew mohawks and wore various punk accessories.,heads,various,['shaved']
Where do you come off calling me Nick.,Where,,['come']
When Arthur questions the demand the knights again shout Ni.,When,,['shout']
Montvale is governed under the Borough form of New Jersey municipal government.,Montvale,municipal,"['governed', 'under']"
The inclusion of a selfinteraction term represents a fundamental alteration of quantum mechanics.,inclusion,fundamental,['represents']
As well work taking place to prepare the playing surface of the pitch.,,playing,['work']
The album was recorded and mixed at the Shelter Studio Hollywood California.,album,Studio,['recorded']
Aiding an escaped criminal.,,escaped,['Aiding']
In the Victorian period gin was a very popular drink for the working class.,,working,['was']
A woman with short dark hair is on the floor reading a book to a little girl dressed in a white dress.,woman,white,"['is', 'on']"
You bet I wont detain them long.,I,them,['bet']
He also published several works of his own on other insect groups.,He,other,"['published', 'several']"
Barghoorn concluded that they were indeed structurally preserved unicellular organisms.,they,unicellular,['concluded']
A person riding a bike outside wearing a helmet.,,outside,['person']
His mouth opened words shaped vainly on his lips.,mouth,vainly,['opened']
Numerous endings are possible.,Numerous,,"['are', 'possible']"
Just as if some one was kissing the window all over outside.,Just,,['kissing']
He finally appeared in a crowd cheering Garfield and Odie.,He,finally,"['appeared', 'in']"
He was the elder brother of Cornelius Varley.,He,elder,['was']
A man and a dog sit on a bench near a body of water.,man,water,"['sit', 'on']"
A large brown and white bull tries his best to throw off a rodeo rider.,brown,,['tries']
The apples are in the basket near the door on your way out.,apples,way,"['are', 'in']"
3 men painting a wall of a building while standing on a scaffolding.,,3,['men']
You can also execute sequences of commands even waiting for particular elements to appear in the page.,particular,,['execute']
Will it be colder in Gost Creek Hawaii on jul 21st 2020.,it,jul,"['be', 'colder']"
After his military service he worked in his brothers Long Beach liquor store.,military,,"['worked', 'in']"
However nonzero vectors in a cyclic representation may fail to be cyclic.,nonzero,,['fail']
A woman and child walk with their bags.,woman,bags,"['walk', 'with']"
She unsuccessfully sued Billing for libel causing a national sensation in Britain.,She,national,['sued']
Engines of this number of cylinders are uncommon in automotive use.,Engines,automotive,"['are', 'uncommon']"
In other words all subnets in a network class must have the same size.,other,,['have']
Her eyes lit up as soon as she saw him enter the room.,him,room,['lit']
Two companies which produce porcelain figurines are Royal Doulton Lladró and Camal Enterprises.,which,porcelain,['are']
All they ever do really is look for food and water.,they,really,['is']
Im away to Lincolnshire to bring that old lady here.,I,old,['m']
The solar industry has been on the rise recently.,solar,,"['been', 'on']"
Ill go right after it.,Ill,right,['go']
Two dogs shake off water in an area with very little vegetation.,Two,,['shake']
Great Barr is well served with a number of primary and secondary schools.,Great,Barr,"['served', 'with']"
However the fight turned in round six as rain fell onto the ring.,round,,['turned']
Primary Education Secondary Education Higher Secondary.,,,"['Education', 'Higher']"
The newest building is the Stafford Center for Art Science and Technology.,newest,,['is']
And what did she say.,she,what,['say']
Hopes of a port to another console never materialized.,Hopes,console,['materialized']
There are three women dressed like angels.,,three,['are']
Vicky is very knowledgeable on the politics of migration.,Vicky,very,['is']
I feel it all over me.,I,all,['feel']
Some men were smoking from a gigantic pipe that they passed from one to the other.,gigantic,,"['smoking', 'from']"
It was it seemed to me the end.,it,end,['was']
He was known for the genre of opera semiseria.,He,opera,"['known', 'for']"
The game was initially made available exclusively to PlayStation Plus users at no charge.,game,exclusively,"['made', 'available']"
So she laughs and forever treasures her rings and memories of Night.,So,,['laughs']
It also holds thousands of pictures and documents.,It,also,['holds']
A man stands in the middle of two woman dressed in brightly colored costumes.,man,colored,"['stands', 'in']"
To speak without thinking is to shoot without taking aim.,speak,aim,['is']
New Zealand also maintains a consulategeneral in Vancouver.,New,Zealand,['maintains']
Each story had moderated threaded discussion attached to it.,story,threaded,"['moderated', 'threaded']"
The building itself consists of a single level.,building,single,"['consists', 'of']"
I answered in all earnestness Quite.,I,earnestness,"['answered', 'in']"
The car was taken into the garage for a Wheel Alignment.,car,Wheel,"['taken', 'into']"
Initially it was thought that the green colour would be unobtrusive.,green,,['thought']
Just then Charlie arrives in a helicopter in search of Jessie and Sean.,then,,"['arrives', 'in']"
There are four points I see as vitally important.,four,,['are']
Dubious is no word for it Jeeves.,,it,['is']
Prior to supporting Paul Martin Herle worked on John Turners leadership bid.,,Prior,"['worked', 'on']"
Several of his works have been filmed and staged.,Several,works,['filmed']
Thats more like it.,That,more,['s']
In evenings and on Sundays there is a halfhourly service in each direction.,,halfhourly,['is']
The current standard defines twentyfive elements.,current,,['defines']
Also the colours of the walls and the stained glass windows are noteworthy.,Also,,"['are', 'noteworthy']"
The motors are run at high speed to maintain the forward momentum.,motors,forward,"['run', 'at', 'high']"
Yieldhungry investors jumped on the bandwagon and rewarded the trusts with higher valuations.,Yieldhungry,investors,"['jumped', 'on']"
I couldnt live in that room alone as you do.,alone,,"['live', 'in']"
The PlayStation Store only contains content for its own country.,PlayStation,Store,['contains']
As the morning drew on however his professional quietude deserted him.,professional,,['deserted']
He loves reading magazines and fan letters on the balcony.,He,fan,['loves']
I did up the bundle again and put the paper conspicuously beside it.,I,conspicuously,['did']
Lawson spent some of her childhood in the Welsh village of Higher Kinnerton.,Lawson,Welsh,['spent']
He thought it was best to first ask for permission.,it,first,['thought']
Each option serves different market needs.,option,different,"['serves', 'different']"
The album contains a mixture of dramatic pop blues rock and country style songs.,album,rock,['contains']
A guy in black shirt and shorts and dog outside.,,black,"['guy', 'in', 'black']"
Similar winds blow in the Adriatic and Ionian regions.,Similar,,"['blow', 'in']"
Two people ride in a orange race car.,Two,,"['ride', 'in']"
A man smoking a cigar reading a paper in a city.,,city,['man']
He played one year of college basketball at the University of Memphis.,He,one,['played']
Several people wearing shorts and swimsuits are sitting in seats.,Several,,"['sitting', 'in']"
A man and a woman prepare a meal using eggs while standing in a kitchen.,man,kitchen,['prepare']
Many of these designs were put to use in the Tokugawa shogunate.,Many,Tokugawa,"['put', 'to']"
Unlike semba kizomba music is characterized by a slower and usually very romantic rhythm.,semba,kizomba,"['characterized', 'by']"
Sandeeps mother witnessed the accident.,Sandeeps,mother,['witnessed']
A start was made but the expedition accomplished little.,expedition,little,['made']
The people were also praying to heaven for protection.,people,also,"['praying', 'to']"
The England cricketer Ian Bell at one time played for the club.,cricketer,Ian,"['played', 'for']"
Famed comicbook artist Jack Kirby was even contracted to produce artwork for set design.,comicbook,artist,['contracted']
Somatosensory cortex like other neocortex is layered.,Somatosensory,cortex,['layered']
He decorated numerous Austrian churches palaces and castles with statues basreliefs and crucifixes.,He,Austrian,"['decorated', 'numerous']"
Hendry has four children by his wife Rheagan Kyle Callum and Niamh.,Hendry,four,['has']
It is expected to reduce wastage and help garment retailers to reduce losses.,It,garment,['expected']
On the death of his son the second Viscount the two titles separated.,two,,['separated']
A man sleeping on a bench.,,bench,['man']
Youre in luck you two the fat Arab said.,fat,,['said']
He assigns cases to his operatives including Sam.,He,Sam,['assigns']
For hes too old to be your boy maam.,he,,['s']
Two scorpions were menacing each other with their stings.,Two,,['were']
Wasabi may be either at the seat or on the conveyor belt.,Wasabi,either,['be']
A young woman jumps from one bench to another.,young,,"['jumps', 'from']"
People in a dark room that has walls illuminated by green lights and one person is holding up their cellphone.,one,,['holding']
And then you go on about how twilight always makes you sad.,always,,['go']
It extends from the St Nedelya Square to the Southern Park.,It,Southern,"['extends', 'from']"
The leader of Chinese rock is undoubtedly Cui Jian.,leader,Chinese,['is']
Many drawings are attributed to this artist often without perfect certainty.,Many,,"['attributed', 'to']"
Compounded by debt.,,debt,"['Compounded', 'by']"
The violence of his contempt nettled him.,violence,him,['nettled']
The law also restricts the use of the emblem in other contexts—eg.,law,other,['restricts']
I should think not.,I,,['think']
I hope your skills are up to scratch.,skills,,['hope']
In medieval times suggestions for the location of Avalon ranged far beyond Glastonbury.,medieval,times,['ranged']
Accurate determination of whether an anecdote is typical requires statistical evidence.,anecdote,statistical,"['requires', 'statistical']"
Jo stands staring and is still staring when she recovers herself.,when,,['stands']
A group of people are attempting to live a heavy object on top of a vehicle.,group,heavy,['attempting']
Cars tents and people are in a large green space near a mountain.,Cars,tents,"['are', 'in']"
He also produced some of the albums for other bands.,He,other,['produced']
Some publications have used Cash Box magazines stats in their place.,publications,Box,['used']
The Ruskin Gallery is the universitys public art gallery.,Ruskin,Gallery,['is']
As time progressed the strips popularity enabled it to become a full pager.,strips,popularity,['enabled']
Construction workers in hard hats building a house.,,hard,"['workers', 'in', 'hard']"
But I would not let him that night.,I,him,['let']
Three women are working in a hospital.,Three,,"['working', 'in']"
This is because Kant defines the term critique as the opposite of dogmatism.,Kant,term,['is']
His grandfather is likewise of the party.,grandfather,likewise,['is']
Nevertheless its rolling stock was fully in use by the time for the Expo.,rolling,,['was']
The television shows the video feed but is inaudible.,television,video,['shows']
The event is commemorated by a plaque on the now disused railway platform.,event,disused,"['commemorated', 'by']"
Sitting of the delegates.,,delegates,"['Sitting', 'of']"
This mutation was hypothesized to selectively abolish Gal expression.,mutation,selectively,['hypothesized']
The sound box may be a pot or jug or some openended hollow object.,sound,box,['be']
Itll be over in three of four days – a fight like Tarawa.,It,four,['be']
